canonical,^8.0|7.0,,^6.4|6.3,,^6.2,,^6.1,,^5.3|5.2|5.1|5.0,,^5.3|5.2|5.1,,^5.3|5.2|5.0,,^5.3|5.2,,^3,,^2,,^1,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID ,2,FILER FEC CMTE ID ,2,FILER FEC CMTE ID ,2,FILER FEC CMTE ID ,2,FILER FEC CMTE ID ,2,FILER FEC CMTE ID,2,FEC COMMITTEE ID NUMBER
change_of_committee_name,3,CHANGE OF COMMITTEE NAME,3,CHANGE OF COMMITTEE NAME,3,CHANGE OF COMMITTEE NAME,3,CHANGE OF COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME
committee_name,4,COMMITTEE NAME,4,COMMITTEE NAME,4,COMMITTEE NAME,4,COMMITTEE NAME,4,STREET 1,4,STREET 1,4,STREET 1,4,STREET 1,4,STREET 1,4,STREET 1,4,STREET 1
change_of_address,5,CHANGE OF ADDRESS,5,CHANGE OF ADDRESS,5,CHANGE OF ADDRESS,5,CHANGE OF ADDRESS,5,STREET 2,5,STREET 2,5,STREET 2,5,STREET 2,5,STREET 2,5,STREET 2,5,STREET 2
street_1,6,STREET 1,6,STREET 1,6,STREET 1,6,STREET 1,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY
street_2,7,STREET 2,7,STREET 2,7,STREET 2,7,STREET 2,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE
city,8,CITY,8,CITY,8,CITY,8,CITY,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP
state,9,STATE,9,STATE,9,STATE,9,STATE,9,DATE (Submitted),9,DATE (Submitted),9,DATE (Submitted),9,DATE (Submitted),9,DATE (Submitted),9,DATE (Submitted),9,DATE (SUBMITTED)
zip,10,ZIP,10,ZIP,10,ZIP,10,ZIP,10,CHG OF COMMITTEE NAME,10,CHG OF COMMITTEE NAME,10,CHG OF COMMITTEE NAME,10,CHG OF COMMITTEE NAME,10,CHG OF COMMITTEE NAME,10,CHG OF COMMITTEE NAME,10,CHG OF COMMITTEE NAME
change_of_committee_email,11,CHANGE OF COMMITTEE EMAIL,11,CHANGE OF COMMITTEE EMAIL,11,COMMITTEE EMAIL,11,COMMITTEE EMAIL,11,CHG OF ADDRESS,11,CHG OF ADDRESS,11,CHG OF ADDRESS,11,CHG OF ADDRESS,11,CHG OF ADDRESS,11,CHG OF ADDRESS,11,CHG OF ADDRESS
committee_email,12,COMMITTEE EMAIL,12,COMMITTEE EMAIL,12,COMMITTEE WEB URL,12,COMMITTEE WEB URL,12,5. COMMITTEE TYPE,12,5. COMMITTEE TYPE,12,5. COMMITTEE TYPE,12,5. COMMITTEE TYPE,12,5. COMMITTEE TYPE,12,COMMITTEE TYPE,12,COMMITTEE TYPE
change_of_committee_web_url,13,CHANGE OF COMMITTEE WEB URL,13,CHANGE OF COMMITTEE WEB URL,13,COMMITTEE FAX NUMBER,13,COMMITTEE FAX NUMBER,13,5. FEC CANDIDATE ID NUMBER,13,5. FEC CANDIDATE ID NUMBER,13,5. FEC CANDIDATE ID NUMBER,13,5. FEC CANDIDATE ID NUMBER,13,5. FEC CANDIDATE ID NUMBER,13,FEC CANDIDATE ID NUMBER,13,FEC CANDIDATE ID NUMBER
committee_web_url,14,COMMITTEE WEB URL,14,COMMITTEE FAX NUMBER,14,SUBMISSION DATE,14,SUBMISSION DATE,14,5. CANDIDATE NAME,14,5. CANDIDATE NAME,14,5. CANDIDATE NAME,14,5. CANDIDATE NAME,14,5. CANDIDATE NAME,14,CANDIDATE NAME,14,CANDIDATE NAME
effective_date,15,EFFECTIVE DATE,15,COMMITTEE WEB URL,15,SIGNATURE LAST NAME,15,SIGNATURE LAST NAME,15,5. CAN/OFFICE ,15,5. CAN/OFFICE ,15,5. CAN/OFFICE ,15,5. CAN/OFFICE ,15,5. CAN/OFFICE ,15,CAN / OFFICE,15,CAND / OFFICE SOUGHT
signature_last_name,16,SIGNATURE LAST NAME,16,SUBMISSION DATE,16,SIGNATURE FIRST NAME,16,SIGNATURE FIRST NAME,16,5. CAN/STATE,16,5. CAN/STATE,16,5. CAN/STATE,16,5. CAN/STATE,16,5. CAN/STATE,16,CAN / STATE (of Election),16,CAND / STATE (of Election)
signature_first_name,17,SIGNATURE FIRST NAME,17,SIGNATURE LAST NAME,17,SIGNATURE MIDDLE NAME,17,SIGNATURE MIDDLE NAME,17,5. CAN/DIST,17,5. CAN/DIST,17,5. CAN/DIST,17,5. CAN/DIST,17,5. CAN/DIST,17,CAN / DISTRICT,17,CAND / DISTRICT
signature_middle_name,18,SIGNATURE MIDDLE NAME,18,SIGNATURE FIRST NAME,18,SIGNATURE PREFIX,18,SIGNATURE PREFIX,18,5. PARTY CODE,18,5. PARTY CODE,18,5. PARTY CODE,18,5. PARTY CODE,18,5. PARTY CODE,18,PARTY CODE,18,PARTY CODE
signature_prefix,19,SIGNATURE PREFIX,19,SIGNATURE MIDDLE NAME,19,SIGNATURE SUFFIX,19,SIGNATURE SUFFIX,19,5. PARTY TYPE,19,5. PARTY TYPE,19,5. PARTY TYPE,19,5. PARTY TYPE,19,5. PARTY TYPE,19,PARTY TYPE,19,PARTY TYPE
signature_suffix,20,SIGNATURE SUFFIX,20,SIGNATURE PREFIX,20,DATE SIGNED,20,DATE SIGNED,20,6. FEC COMMITTEE ID NUMBER,20,6. FEC COMMITTEE ID NUMBER,20,6. FEC COMMITTEE ID NUMBER,20,6. FEC COMMITTEE ID NUMBER,20,6. FEC COMMITTEE ID NUMBER,20,FEC COMMITTEE ID NUMBER,20,FEC COMMITTEE ID NUMBER
date_signed,21,DATE SIGNED,21,SIGNATURE SUFFIX,21,5. COMMITTEE TYPE,21,5. COMMITTEE TYPE,21,6. COMMITTEE NAME (Affiliated),21,6. COMMITTEE NAME (Affiliated),21,6. COMMITTEE NAME (Affiliated),21,6. COMMITTEE NAME (Affiliated),21,6. COMMITTEE NAME (Affiliated),21,COMMITTEE NAME,21,COMMITTEE NAME
5_committee_type,22,5. COMMITTEE TYPE,22,DATE SIGNED,22,5. CANDIDATE ID NUMBER,22,5. CANDIDATE ID NUMBER,22,6. STREET 1,22,6. STREET 1,22,6. STREET 1,22,6. STREET 1,22,6. STREET 1,22,STREET 1,22,STREET 1
5_candidate_id_number,23,5. CANDIDATE ID NUMBER,23,5. COMMITTEE TYPE,23,5. CANDIDATE LAST NAME,23,5. CANDIDATE LAST NAME,23,6. STREET 2,23,6. STREET 2,23,6. STREET 2,23,6. STREET 2,23,6. STREET 2,23,STREET 2,23,STREET 2
