canonical,^6.3|6.2|6.1,,^6.3|6.2,,^5.3,,^5.2|5.1|5.0,,^5.2|5.1,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER FEC COMMITTEE ID,2,FILER FEC COMMITTEE ID,2,FILER FEC COMMITTEE ID
filer_committee_name,3,FILER {Principal Campaign} COMMITTEE NAME       ,3,FILER {Principal Campaign} COMMITTEE NAME       ,3,CANDIDATE NAME,3,CANDIDATE NAME,3,CANDIDATE NAME
committee_street_1,4,COMMITTEE STREET 1,4,COMMITTEE STREET 1,4,CANDIDATE ID,4,CANDIDATE ID,4,CANDIDATE ID
committee_street_2,5,COMMITTEE STREET 2,5,COMMITTEE STREET 2,5,CAN/OFFICE,5,CAN/OFFICE,5,CAN/OFFICE
committee_city,6,COMMITTEE CITY,6,COMMITTEE CITY,6,CANDIDATE STATE,6,CANDIDATE STATE,6,CANDIDATE STATE
committee_state,7,COMMITTEE STATE,7,COMMITTEE STATE,7,CANDIDATE DISTRICT,7,CANDIDATE DISTRICT,7,CANDIDATE DISTRICT
committee_zip,8,COMMITTEE ZIP,8,COMMITTEE ZIP,8,COMMITTEE NAME       ,8,COMMITTEE NAME       ,8,COMMITTEE NAME       
candidate_id_number,9,CANDIDATE ID NUMBER,9,CANDIDATE ID NUMBER,9,STREET 1,9,STREET 1,9,STREET 1
candidate_last_name,10,CANDIDATE LAST NAME,10,CANDIDATE LAST NAME,10,STREET 2,10,STREET 2,10,STREET 2
candidate_first_name,11,CANDIDATE FIRST NAME,11,CANDIDATE FIRST NAME,11,CITY,11,CITY,11,CITY
candidate_middle_name,12,CANDIDATE MIDDLE NAME,12,CANDIDATE MIDDLE NAME,12,STATE,12,STATE,12,STATE
candidate_prefix,13,CANDIDATE PREFIX,13,CANDIDATE PREFIX,13,ZIP,13,ZIP,13,ZIP
candidate_suffix,14,CANDIDATE SUFFIX,14,CANDIDATE SUFFIX,14,PREVIOUS EXPENDITURE AGGREGATE,14,PREVIOUS EXPENDITURE AGGREGATE,14,PREVIOUS EXPENDITURE AGGREGATE
candidate_office,15,CANDIDATE OFFICE,15,CANDIDATE OFFICE,15,EXP TOTAL THIS REPORT,15,EXP TOTAL THIS REPORT,15,EXP TOTAL THIS REPORT
candidate_state,16,CANDIDATE STATE ,16,CANDIDATE STATE ,16,EXP TOTAL CYCLE-TO-DATE,16,EXP TOTAL CYCLE-TO-DATE,16,EXP TOTAL CYCLE-TO-DATE
candidate_dist,17,CANDIDATE DIST,17,CANDIDATE DIST,17,NAME/CANDIDATE (as signed),17,NAME/CANDIDATE (as signed),17,NAME/CANDIDATE (as signed)
previous_expenditure_aggregate,18,PREVIOUS EXPENDITURE AGGREGATE,18,PREVIOUS EXPENDITURE AGGREGATE,18,DATE (Signed),18,DATE (Signed),18,DATE (Signed)
expenditure_total_this_report,19,EXPENDITURE TOTAL THIS REPORT,19,EXPENDITURE TOTAL THIS REPORT,19,MEETS F6 FILING REQUIREMENTS,,,,
expenditure_total_cycle_to_date,20,EXPENDITURE TOTAL CYCLE-TO-DATE,20,EXPENDITURE TOTAL CYCLE-TO-DATE,20,CANDIDATE EMPLOYER,,,,
meets_f6_filing_filing_requirements,21,MEETS F6 FILING FILING REQUIREMENTS,21,MEETS F6 FILING FILING REQUIREMENTS,21,CANDIDATE OCCUPATION,,,,
candidate_employer,22,CANDIDATE EMPLOYER,22,CANDIDATE EMPLOYER,,,,,,
candidate_occupation,23,CANDIDATE OCCUPATION,23,CANDIDATE OCCUPATION,,,,,,
treasurer_last_name,24,TREASURER LAST NAME,24,TREASURER LAST NAME,,,,,,
treasurer_first_name,25,TREASURER FIRST NAME,25,TREASURER FIRST NAME,,,,,,
treasurer_middle_name,26,TREASURER MIDDLE NAME,26,TREASURER MIDDLE NAME,,,,,,
treasurer_prefix,27,TREASURER PREFIX,27,TREASURER PREFIX,,,,,,
treasurer_suffix,28,TREASURER SUFFIX,28,TREASURER SUFFIX,,,,,,
date_signed,29,DATE SIGNED,29,DATE SIGNED,,,,,,
