canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^8.0|7.0|6.4|6.3|6.2,,^8.0|7.0|6.4|6.3|6.1,,^8.0|7.0|6.4|6.3,,^8.0|7.0|6.4|6.2|6.1,,^8.0|7.0|6.4|6.2,,^8.0|7.0|6.4|6.1,,^8.0|7.0|6.4,,^8.0|7.0|6.3|6.2|6.1,,^8.0|7.0|6.3|6.2,,^8.0|7.0|6.3|6.1,,^8.0|7.0|6.3,,^8.0|7.0|6.2|6.1,,^8.0|7.0|6.2,,^8.0|7.0|6.1,,^8.0|7.0,,^5.3|5.2,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID
committee_name,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME
change_of_address,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,STREET  1
street_1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  2
street_2,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET  2,6,CITY
city,7,CITY,7,CITY,7,CITY,7,CITY,7,CITY,7,CITY,7,CITY,7,CITY,7,CITY,7,CITY,7,CITY,7,CITY,7,CITY,7,CITY,7,CITY,7,CITY,7,STATE
state,8,STATE,8,STATE,8,STATE,8,STATE,8,STATE,8,STATE,8,STATE,8,STATE,8,STATE,8,STATE,8,STATE,8,STATE,8,STATE,8,STATE,8,STATE,8,STATE,8,ZIP
zip,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,CHG OF ADDRESS
report_code,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,RPTCODE
amendment_date,11,AMENDMENT DATE,11,AMENDMENT DATE,11,AMENDMENT DATE,11,AMENDMENT DATE,11,AMENDMENT DATE,11,AMENDMENT DATE,11,AMENDMENT DATE,11,AMENDMENT DATE,11,AMENDMENT DATE,11,AMENDMENT DATE,11,AMENDMENT DATE,11,AMENDMENT DATE,11,AMENDMENT DATE,11,AMENDMENT DATE,11,AMENDMENT DATE,11,AMENDMENT DATE,11,DATE (Of Amendment)
coverage_from_date,12,COVERAGE FROM DATE,12,COVERAGE FROM DATE,12,COVERAGE FROM DATE,12,COVERAGE FROM DATE,12,COVERAGE FROM DATE,12,COVERAGE FROM DATE,12,COVERAGE FROM DATE,12,COVERAGE FROM DATE,12,COVERAGE FROM DATE,12,COVERAGE FROM DATE,12,COVERAGE FROM DATE,12,COVERAGE FROM DATE,12,COVERAGE FROM DATE,12,COVERAGE FROM DATE,12,COVERAGE FROM DATE,12,COVERAGE FROM DATE,12,DATE (Coverage From)
coverage_through_date,13,COVERAGE THROUGH DATE,13,COVERAGE THROUGH DATE,13,COVERAGE THROUGH DATE,13,COVERAGE THROUGH DATE,13,COVERAGE THROUGH DATE,13,COVERAGE THROUGH DATE,13,COVERAGE THROUGH DATE,13,COVERAGE THROUGH DATE,13,COVERAGE THROUGH DATE,13,COVERAGE THROUGH DATE,13,COVERAGE THROUGH DATE,13,COVERAGE THROUGH DATE,13,COVERAGE THROUGH DATE,13,COVERAGE THROUGH DATE,13,COVERAGE THROUGH DATE,13,COVERAGE THROUGH DATE,13,DATE (Coverage To)
5_total_donations_accepted,14,5 TOTAL DONATIONS ACCEPTED,14,5 TOTAL DONATIONS ACCEPTED,14,5 TOTAL DONATIONS ACCEPTED,14,5 TOTAL DONATIONS ACCEPTED,14,5 TOTAL DONATIONS ACCEPTED,14,5 TOTAL DONATIONS ACCEPTED,14,5 TOTAL DONATIONS ACCEPTED,14,5 TOTAL DONATIONS ACCEPTED,14,5 TOTAL DONATIONS ACCEPTED,14,5 TOTAL DONATIONS ACCEPTED,14,5 TOTAL DONATIONS ACCEPTED,14,5 TOTAL DONATIONS ACCEPTED,14,5 TOTAL DONATIONS ACCEPTED,14,5 TOTAL DONATIONS ACCEPTED,14,5 TOTAL DONATIONS ACCEPTED,14,5 TOTAL DONATIONS ACCEPTED,14,5. Total Donations Accepted
6_total_donations_refunded,15,6 TOTAL DONATIONS REFUNDED,15,6 TOTAL DONATIONS REFUNDED,15,6 TOTAL DONATIONS REFUNDED,15,6 TOTAL DONATIONS REFUNDED,15,6 TOTAL DONATIONS REFUNDED,15,6 TOTAL DONATIONS REFUNDED,15,6 TOTAL DONATIONS REFUNDED,15,6 TOTAL DONATIONS REFUNDED,15,6 TOTAL DONATIONS REFUNDED,15,6 TOTAL DONATIONS REFUNDED,15,6 TOTAL DONATIONS REFUNDED,15,6 TOTAL DONATIONS REFUNDED,15,6 TOTAL DONATIONS REFUNDED,15,6 TOTAL DONATIONS REFUNDED,15,6 TOTAL DONATIONS REFUNDED,15,6 TOTAL DONATIONS REFUNDED,15,6. Total Donations Refund
7_net_donations,16,7 NET DONATIONS,16,7 NET DONATIONS,16,7 NET DONATIONS,16,7 NET DONATIONS,16,7 NET DONATIONS,16,7 NET DONATIONS,16,7 NET DONATIONS,16,7 NET DONATIONS,16,7 NET DONATIONS,16,7 NET DONATIONS,16,7 NET DONATIONS,16,7 NET DONATIONS,16,7 NET DONATIONS,16,7 NET DONATIONS,16,7 NET DONATIONS,16,7 NET DONATIONS,16,7. Net Donations
designated_last_name,17,DESIGNATED LAST NAME,17,DESIGNATED LAST NAME,17,DESIGNATED LAST NAME,17,DESIGNATED LAST NAME,17,DESIGNATED LAST NAME,17,DESIGNATED LAST NAME,17,DESIGNATED LAST NAME,17,DESIGNATED LAST NAME,17,DESIGNATED LAST NAME,17,DESIGNATED LAST NAME,17,DESIGNATED LAST NAME,17,DESIGNATED LAST NAME,17,DESIGNATED LAST NAME,17,DESIGNATED LAST NAME,17,DESIGNATED LAST NAME,17,DESIGNATED LAST NAME,17,DESIGNATED OFFICER  --LAST NAME (as signed)
designated_first_name,18,DESIGNATED FIRST NAME,18,DESIGNATED FIRST NAME,18,DESIGNATED FIRST NAME,18,DESIGNATED FIRST NAME,18,DESIGNATED FIRST NAME,18,DESIGNATED FIRST NAME,18,DESIGNATED FIRST NAME,18,DESIGNATED FIRST NAME,18,DESIGNATED FIRST NAME,18,DESIGNATED FIRST NAME,18,DESIGNATED FIRST NAME,18,DESIGNATED FIRST NAME,18,DESIGNATED FIRST NAME,18,DESIGNATED FIRST NAME,18,DESIGNATED FIRST NAME,18,DESIGNATED FIRST NAME,18,DESIGNATED OFFICER -- FIRST NAME (as signed)
