canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^8.0|7.0|6.4|6.3|6.2,,^8.0|7.0|6.4|6.3|6.1,,^8.0|7.0|6.4|6.3,,^8.0|7.0|6.4|6.2|6.1,,^8.0|7.0|6.4|6.2,,^8.0|7.0|6.4|6.1,,^8.0|7.0|6.4,,^8.0|7.0|6.3|6.2|6.1,,^8.0|7.0|6.3|6.2,,^8.0|7.0|6.3|6.1,,^8.0|7.0|6.3,,^8.0|7.0|6.2|6.1,,^8.0|7.0|6.2,,^8.0|7.0|6.1,,^8.0|7.0,,^5.3|5.2|5.1|5.0|3,,^5.3|5.2|5.1|5.0,,^5.3|5.2|5.1|3,,^5.3|5.2|5.1,,^5.3|5.2|5.0|3,,^5.3|5.2|5.0,,^5.3|5.2|3,,^5.3|5.2,,^2,,^1,
form_type,1,FORM TYPE ,1,FORM TYPE ,1,FORM TYPE ,1,FORM TYPE ,1,FORM TYPE ,1,FORM TYPE ,1,FORM TYPE ,1,FORM TYPE ,1,FORM TYPE ,1,FORM TYPE ,1,FORM TYPE ,1,FORM TYPE ,1,FORM TYPE ,1,FORM TYPE ,1,FORM TYPE ,1,FORM TYPE ,1,FORM TYPE ,1,FORM TYPE ,1,FORM TYPE ,1,FORM TYPE ,1,FORM TYPE ,1,FORM TYPE ,1,FORM TYPE ,1,FORM TYPE ,1,FORM TYPE,1,Combines Form (F1M)
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID ,2,FILER FEC CMTE ID ,2,FILER FEC CMTE ID ,2,FILER FEC CMTE ID ,2,FILER FEC CMTE ID ,2,FILER FEC CMTE ID ,2,FILER FEC CMTE ID ,2,FILER FEC CMTE ID ,2,FILER FEC CMTE ID,2,FEC COMMITTEE ID NUMBER
committee_name,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME
street_1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET 1,4,STREET 1
street_2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET 2,5,STREET 2
city,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY
state,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE
zip,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP
committee_type,9,COMMITTEE TYPE,9,COMMITTEE TYPE,9,COMMITTEE TYPE,9,COMMITTEE TYPE,9,COMMITTEE TYPE,9,COMMITTEE TYPE,9,COMMITTEE TYPE,9,COMMITTEE TYPE,9,COMMITTEE TYPE,9,COMMITTEE TYPE,9,COMMITTEE TYPE,9,COMMITTEE TYPE,9,COMMITTEE TYPE,9,COMMITTEE TYPE,9,COMMITTEE TYPE,9,COMMITTEE TYPE,9,COMMITTEE TYPE,9,COMMITTEE TYPE,9,COMMITTEE TYPE,9,COMMITTEE TYPE,9,COMMITTEE TYPE,9,COMMITTEE TYPE,9,COMMITTEE TYPE,9,COMMITTEE TYPE,9,COMMITTEE TYPE,9,COMMITTEE TYPE
affiliated_date_form_f1_filed,10,AFFILIATED - DATE FORM F1 FILED,10,AFFILIATED - DATE FORM F1 FILED,10,AFFILIATED - DATE FORM F1 FILED,10,AFFILIATED - DATE FORM F1 FILED,10,AFFILIATED - DATE FORM F1 FILED,10,AFFILIATED - DATE FORM F1 FILED,10,AFFILIATED - DATE FORM F1 FILED,10,AFFILIATED - DATE FORM F1 FILED,10,AFFILIATED - DATE FORM F1 FILED,10,AFFILIATED - DATE FORM F1 FILED,10,AFFILIATED - DATE FORM F1 FILED,10,AFFILIATED - DATE FORM F1 FILED,10,AFFILIATED - DATE FORM F1 FILED,10,AFFILIATED - DATE FORM F1 FILED,10,AFFILIATED - DATE FORM F1 FILED,10,AFFILIATED - DATE FORM F1 FILED,10,DATE (Of Affiliation),10,DATE (Of Affiliation),10,DATE (Of Affiliation),10,DATE (Of Affiliation),10,DATE (Of Affiliation),10,DATE (Of Affiliation),10,DATE (Of Affiliation),10,DATE (Of Affiliation),10,DATE (Of Affiliation),10,DATE ( OF AFFILIATION)
affiliated_committee_fec_id,11,AFFILIATED COMMITTEE FEC ID,11,AFFILIATED COMMITTEE FEC ID,11,AFFILIATED COMMITTEE FEC ID,11,AFFILIATED COMMITTEE FEC ID,11,AFFILIATED COMMITTEE FEC ID,11,AFFILIATED COMMITTEE FEC ID,11,AFFILIATED COMMITTEE FEC ID,11,AFFILIATED COMMITTEE FEC ID,11,AFFILIATED COMMITTEE FEC ID,11,AFFILIATED COMMITTEE FEC ID,11,AFFILIATED COMMITTEE FEC ID,11,AFFILIATED COMMITTEE FEC ID,11,AFFILIATED COMMITTEE FEC ID,11,AFFILIATED COMMITTEE FEC ID,11,AFFILIATED COMMITTEE FEC ID,11,AFFILIATED COMMITTEE FEC ID,11,FEC COMMITTEE ID NUMBER,11,FEC COMMITTEE ID NUMBER,11,FEC COMMITTEE ID NUMBER,11,FEC COMMITTEE ID NUMBER,11,FEC COMMITTEE ID NUMBER,11,FEC COMMITTEE ID NUMBER,11,FEC COMMITTEE ID NUMBER,11,FEC COMMITTEE ID NUMBER,11,FEC COMMITTEE ID NUMBER,11,FEC COMMITTEE ID NUMBER
affiliated_committee_name,12,AFFILIATED COMMITTEE NAME,12,AFFILIATED COMMITTEE NAME,12,AFFILIATED COMMITTEE NAME,12,AFFILIATED COMMITTEE NAME,12,AFFILIATED COMMITTEE NAME,12,AFFILIATED COMMITTEE NAME,12,AFFILIATED COMMITTEE NAME,12,AFFILIATED COMMITTEE NAME,12,AFFILIATED COMMITTEE NAME,12,AFFILIATED COMMITTEE NAME,12,AFFILIATED COMMITTEE NAME,12,AFFILIATED COMMITTEE NAME,12,AFFILIATED COMMITTEE NAME,12,AFFILIATED COMMITTEE NAME,12,AFFILIATED COMMITTEE NAME,12,AFFILIATED COMMITTEE NAME,12,COMMITTEE NAME,12,COMMITTEE NAME,12,COMMITTEE NAME,12,COMMITTEE NAME,12,COMMITTEE NAME,12,COMMITTEE NAME,12,COMMITTEE NAME,12,COMMITTEE NAME,12,COMMITTEE NAME,12,COMMITTEE NAME
i_candidate_id_number,13,I CANDIDATE ID NUMBER,13,I CANDIDATE ID NUMBER,13,I CANDIDATE ID NUMBER,13,I CANDIDATE ID NUMBER,13,I CANDIDATE ID NUMBER,13,I CANDIDATE ID NUMBER,13,I CANDIDATE ID NUMBER,13,I CANDIDATE ID NUMBER,13,I CANDIDATE ID NUMBER,13,I CANDIDATE ID NUMBER,13,I CANDIDATE ID NUMBER,13,I CANDIDATE ID NUMBER,13,I CANDIDATE ID NUMBER,13,I CANDIDATE ID NUMBER,13,I CANDIDATE ID NUMBER,13,I CANDIDATE ID NUMBER,13,FEC CANDIDATE ID NUMBER,13,FEC CANDIDATE ID NUMBER,13,FEC CANDIDATE ID NUMBER,13,FEC CANDIDATE ID NUMBER,13,FEC CANDIDATE ID NUMBER,13,FEC CANDIDATE ID NUMBER,13,FEC CANDIDATE ID NUMBER,13,FEC CANDIDATE ID NUMBER,13,FEC CANDIDATE ID NUMBER,13,FEC CANDIDATE ID NUMBER
i_candidate_last_name,14,I CANDIDATE LAST NAME,14,I CANDIDATE LAST NAME,14,I CANDIDATE LAST NAME,14,I CANDIDATE LAST NAME,14,I CANDIDATE LAST NAME,14,I CANDIDATE LAST NAME,14,I CANDIDATE LAST NAME,14,I CANDIDATE LAST NAME,14,I CANDIDATE LAST NAME,14,I CANDIDATE LAST NAME,14,I CANDIDATE LAST NAME,14,I CANDIDATE LAST NAME,14,I CANDIDATE LAST NAME,14,I CANDIDATE LAST NAME,14,I CANDIDATE LAST NAME,14,I CANDIDATE LAST NAME,14,CANDIDATE NAME,14,CANDIDATE NAME,14,CANDIDATE NAME,14,CANDIDATE NAME,14,CANDIDATE NAME,14,CANDIDATE NAME,14,CANDIDATE NAME,14,CANDIDATE NAME,14,CANDIDATE NAME,14,CANDIDATE NAME
i_candidate_first_name,15,I CANDIDATE FIRST NAME,15,I CANDIDATE FIRST NAME,15,I CANDIDATE FIRST NAME,15,I CANDIDATE FIRST NAME,15,I CANDIDATE FIRST NAME,15,I CANDIDATE FIRST NAME,15,I CANDIDATE FIRST NAME,15,I CANDIDATE FIRST NAME,15,I CANDIDATE FIRST NAME,15,I CANDIDATE FIRST NAME,15,I CANDIDATE FIRST NAME,15,I CANDIDATE FIRST NAME,15,I CANDIDATE FIRST NAME,15,I CANDIDATE FIRST NAME,15,I CANDIDATE FIRST NAME,15,I CANDIDATE FIRST NAME,15,CAN/OFFICE,15,CAN/OFFICE,15,CAN/OFFICE,15,CAN/OFFICE,15,CAN/OFFICE,15,CAN/OFFICE,15,CAN/OFFICE,15,CAN/OFFICE,15,CAN/OFF,15,CAN/OFF
i_candidate_middle_name,16,I CANDIDATE MIDDLE NAME,16,I CANDIDATE MIDDLE NAME,16,I CANDIDATE MIDDLE NAME,16,I CANDIDATE MIDDLE NAME,16,I CANDIDATE MIDDLE NAME,16,I CANDIDATE MIDDLE NAME,16,I CANDIDATE MIDDLE NAME,16,I CANDIDATE MIDDLE NAME,16,I CANDIDATE MIDDLE NAME,16,I CANDIDATE MIDDLE NAME,16,I CANDIDATE MIDDLE NAME,16,I CANDIDATE MIDDLE NAME,16,I CANDIDATE MIDDLE NAME,16,I CANDIDATE MIDDLE NAME,16,I CANDIDATE MIDDLE NAME,16,I CANDIDATE MIDDLE NAME,16,CAN/STATE ,16,CAN/STATE ,16,CAN/STATE ,16,CAN/STATE ,16,CAN/STATE ,16,CAN/STATE ,16,CAN/STATE ,16,CAN/STATE ,16,STATE (Of Election),16,STATE (OF ELECTION)
i_candidate_prefix,17,I CANDIDATE PREFIX,17,I CANDIDATE PREFIX,17,I CANDIDATE PREFIX,17,I CANDIDATE PREFIX,17,I CANDIDATE PREFIX,17,I CANDIDATE PREFIX,17,I CANDIDATE PREFIX,17,I CANDIDATE PREFIX,17,I CANDIDATE PREFIX,17,I CANDIDATE PREFIX,17,I CANDIDATE PREFIX,17,I CANDIDATE PREFIX,17,I CANDIDATE PREFIX,17,I CANDIDATE PREFIX,17,I CANDIDATE PREFIX,17,I CANDIDATE PREFIX,17,CAN/DIST,17,CAN/DIST,17,CAN/DIST,17,CAN/DIST,17,CAN/DIST,17,CAN/DIST,17,CAN/DIST,17,CAN/DIST,17,CAN/DIST,17,CAN/DIST
