canonical,^8.0|7.0|6.4,,^8.0|7.0,,^6.3|6.2|6.1,,^6.3|6.2,,^5.3|5.1,,^5.2,,^5.0,,^3,,^2,,^1,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_candidate_id_number,2,FILER CANDIDATE ID NUMBER,2,FILER CANDIDATE ID NUMBER,2,FILER CANDIDATE ID NUMBER,2,FILER CANDIDATE ID NUMBER,2,FILER FEC CAND ID ,2,FILER FEC CAND ID ,2,FILER FEC CAND ID ,2,FILER FEC CAND ID ,2,FILER FEC CMTE ID,2,FEC CANDIDATE ID NUMBER
candidate_last_name,3,CANDIDATE LAST NAME,3,CANDIDATE LAST NAME,3,CANDIDATE LAST NAME,3,CANDIDATE LAST NAME,3,CANDIDATE NAME,3,CANDIDATE NAME,3,CANDIDATE NAME,3,CANDIDATE NAME,3,CANDIDATE NAME,3,CANDIDATE NAME
candidate_first_name,4,CANDIDATE FIRST NAME,4,CANDIDATE FIRST NAME,4,CANDIDATE FIRST NAME,4,CANDIDATE FIRST NAME,4,STREET 1,4,STREET 1,4,STREET 1,4,STREET 1,4,STREET 1,4,STREET 1
candidate_middle_name,5,CANDIDATE MIDDLE NAME,5,CANDIDATE MIDDLE NAME,5,CANDIDATE MIDDLE NAME,5,CANDIDATE MIDDLE NAME,5,STREET 2,5,STREET 2,5,STREET 2,5,STREET 2,5,STREET 2,5,STREET 2
candidate_prefix,6,CANDIDATE PREFIX,6,CANDIDATE PREFIX,6,CANDIDATE PREFIX,6,CANDIDATE PREFIX,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY
candidate_suffix,7,CANDIDATE SUFFIX,7,CANDIDATE SUFFIX,7,CANDIDATE SUFFIX,7,CANDIDATE SUFFIX,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE
change_of_address,8,CHANGE OF ADDRESS,8,CHANGE OF ADDRESS,8,CHANGE OF ADDRESS,8,CHANGE OF ADDRESS,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP
candidate_street_1,9,CANDIDATE STREET 1,9,CANDIDATE STREET 1,9,CANDIDATE STREET 1,9,CANDIDATE STREET 1,9,PTY/CODE,9,PTY/CODE,9,PTY/CODE,9,PTY/CODE,9,PTY/CODE,9,PTY/CODE
candidate_street_2,10,CANDIDATE STREET 2,10,CANDIDATE STREET 2,10,CANDIDATE STREET 2,10,CANDIDATE STREET 2,10,CAN/OFFICE,10,CAN/OFFICE,10,CAN/OFFICE,10,CAN/OFFICE,10,CAN/OFF,10,CAN/OFF
candidate_city,11,CANDIDATE CITY,11,CANDIDATE CITY,11,CANDIDATE CITY,11,CANDIDATE CITY,11,CAN/STATE  ,11,CAN/STATE  ,11,CAN/STATE  ,11,CAN/STATE  ,11,STATE (Of Election),11,STATE (OF ELECTION)
candidate_state,12,CANDIDATE STATE,12,CANDIDATE STATE,12,CANDIDATE STATE,12,CANDIDATE STATE,12,CAN/DIST,12,CAN/DIST,12,CAN/DIST,12,CAN/DIST,12,CAN/DIST,12,CAN/DIST
candidate_zip,13,CANDIDATE ZIP,13,CANDIDATE ZIP,13,CANDIDATE ZIP,13,CANDIDATE ZIP,13,YEAR OF ELECTION 1900-2999,13,YEAR OF ELECTION 1900-2999,13,YEAR OF ELECTION 1900-2999,13,YEAR OF ELECTION 1900-2999,13,YEAR OF ELECTION 1900-2999,13,YEAR OF ELECTION 1900-2999
candidate_party_code,14,CANDIDATE PARTY CODE,14,CANDIDATE PARTY CODE,14,CANDIDATE PARTY CODE,14,CANDIDATE PARTY CODE,14,FEC COMMITTEE ID NUMBER (PCC),14,FEC COMMITTEE ID NUMBER (PCC),14,FEC COMMITTEE ID NUMBER (PCC),14,FEC COMMITTEE ID NUMBER (PCC),14,FEC COMMITTEE ID NUMBER (PCC),14,FEC COMMITTEE ID NUMBER (PCC)
candidate_office,15,CANDIDATE OFFICE,15,CANDIDATE OFFICE,15,CANDIDATE OFFICE,15,CANDIDATE OFFICE,15,COMMITTEE NAME (PCC),15,COMMITTEE NAME (PCC),15,COMMITTEE NAME (PCC),15,COMMITTEE NAME (PCC),15,COMMITTEE NAME (PCC),15,COMMITTEE NAME (PCC)
candidate_state,16,CANDIDATE STATE  ,16,CANDIDATE STATE  ,16,CANDIDATE STATE  ,16,CANDIDATE STATE  ,16,STREET 1,16,STREET 1,16,STREET 1,16,STREET 1,16,STREET 1,16,STREET 1
candidate_district,17,CANDIDATE DISTRICT,17,CANDIDATE DISTRICT,17,CANDIDATE DISTRICT,17,CANDIDATE DISTRICT,17,STREET 2,17,STREET 2,17,STREET 2,17,STREET 2,17,STREET 2,17,STREET 2
year_of_election_1900_2999,18,YEAR OF ELECTION 1900-2999,18,YEAR OF ELECTION 1900-2999,18,YEAR OF ELECTION 1900-2999,18,YEAR OF ELECTION 1900-2999,18,CITY,18,CITY,18,CITY,18,CITY,18,CITY,18,CITY
