canonical,^8.0|7.0,,^6.4|6.3|6.2|6.1,,^6.4|6.3|6.2,,^6.4|6.3|6.1,,^6.4|6.3,,^5.3|5.2|5.1|5.0,,^5.3|5.2|5.1,,^5.3|5.2|5.0,,^5.3|5.2,,^3,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID
report_type,3,REPORT TYPE {24/48 Hour},3,REPORT TYPE {24/48 Hour?},3,REPORT TYPE {24/48 Hour?},3,REPORT TYPE {24/48 Hour?},3,REPORT TYPE {24/48 Hour?},3,COMMITTEE NAME       ,3,COMMITTEE NAME       ,3,COMMITTEE NAME       ,3,COMMITTEE NAME       ,3,COMMITTEE NAME       
committee_name,4,COMMITTEE NAME       ,4,COMMITTEE NAME       ,4,COMMITTEE NAME       ,4,COMMITTEE NAME       ,4,COMMITTEE NAME       ,4,STREET 1,4,STREET 1,4,STREET 1,4,STREET 1,4,STREET 1
street_1,5,STREET 1,5,STREET 1,5,STREET 1,5,STREET 1,5,STREET 1,5,STREET 2,5,STREET 2,5,STREET 2,5,STREET 2,5,STREET 2
street_2,6,STREET 2,6,STREET 2,6,STREET 2,6,STREET 2,6,STREET 2,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY
city,7,CITY,7,CITY,7,CITY,7,CITY,7,CITY,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE
state,8,STATE,8,STATE,8,STATE,8,STATE,8,STATE,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP
zip,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,NAME/TREASURER (as signed),9,NAME/TREASURER (as signed),9,NAME/TREASURER (as signed),9,NAME/TREASURER (as signed),9,NAME/TREASURER (as signed)
treasurer_last_name,10,TREASURER LAST NAME,10,TREASURER LAST NAME,10,TREASURER LAST NAME,10,TREASURER LAST NAME,10,TREASURER LAST NAME,10,DATE (Signed),10,DATE (Signed),10,DATE (Signed),10,DATE (Signed),10,DATE (Signed)
treasurer_first_name,11,TREASURER FIRST NAME,11,TREASURER FIRST NAME,11,TREASURER FIRST NAME,11,TREASURER FIRST NAME,11,TREASURER FIRST NAME,11,REPORT TYPE,11,REPORT TYPE,11,REPORT TYPE,11,REPORT TYPE,,
treasurer_middle_name,12,TREASURER MIDDLE NAME,12,TREASURER MIDDLE NAME,12,TREASURER MIDDLE NAME,12,TREASURER MIDDLE NAME,12,TREASURER MIDDLE NAME,,,,,,,,,,
treasurer_prefix,13,TREASURER PREFIX,13,TREASURER PREFIX,13,TREASURER PREFIX,13,TREASURER PREFIX,13,TREASURER PREFIX,,,,,,,,,,
treasurer_suffix,14,TREASURER SUFFIX,14,TREASURER SUFFIX,14,TREASURER SUFFIX,14,TREASURER SUFFIX,14,TREASURER SUFFIX,,,,,,,,,,
date_signed,15,DATE SIGNED,15,DATE SIGNED,15,DATE SIGNED,15,DATE SIGNED,15,DATE SIGNED,,,,,,,,,,
