canonical,^8.0|7.0,,^6.4,,^6.3|6.2|6.1,,^6.3|6.2,,^5.3|5.2|5.1|5.0,,^5.3|5.2|5.1,,^5.3|5.2|5.0,,^5.3|5.2,,^3,,^2,,^1,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FEC COMMITTEE ID NUMBER
committee_name,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME
change_of_address,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET1,4,STREET 1
street_1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET2,5,STREET 2
street_2,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET  2,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY
city,7,CITY,7,CITY,7,CITY,7,CITY,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE
state,8,STATE,8,STATE,8,STATE,8,STATE,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,Net Operating Expenditures,8,ZIP
zip,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,CHG OF ADDRESS,9,CHG OF ADDRESS,9,CHG OF ADDRESS,9,CHG OF ADDRESS,9,CHG OF ADDRESS,9,ZIP,9,CHG OF ADDRESS
election_state,10,ELECTION STATE,10,ELECTION STATE,10,ELECTION STATE,10,ELECTION STATE,10,ELECTION STATE,10,ELECTION STATE,10,ELECTION STATE,10,ELECTION STATE,10,ELECTION STATE,10,CHG OF ADDRESS,10,ELECTION STATE
election_district,11,ELECTION DISTRICT,11,ELECTION DISTRICT,11,ELECTION DISTRICT,11,ELECTION DISTRICT,11,ELECTION DISTRICT,11,ELECTION DISTRICT,11,ELECTION DISTRICT,11,ELECTION DISTRICT,11,ELECTION DISTRICT,11,ELECTION STATE,11,ELECTION DISTRICT
report_code,12,REPORT CODE,12,REPORT CODE,12,REPORT CODE,12,REPORT CODE,12,RPTCODE,12,RPTCODE,12,RPTCODE,12,RPTCODE,12,RPTCODE,12,ELECTION DISTRICT,12,RPTCODE
election_code,13,ELECTION CODE  {was RPTPGI},13,ELECTION CODE  {was RPTPGI},13,ELECTION CODE  {was RPTPGI},13,ELECTION CODE  {was RPTPGI},13,RPTPGI,13,RPTPGI,13,RPTPGI,13,RPTPGI,13,RPTPGI,13,RPTCODE,13,RPTPGI
date_of_election,14,DATE OF ELECTION,14,DATE OF ELECTION,14,DATE OF ELECTION,14,DATE OF ELECTION,14,DATE (Of Election),14,DATE (Of Election),14,DATE (Of Election),14,DATE (Of Election),14,DATE (Of Election),14,RPTPGI,14,DATE (OF ELECTION)
state_of_election,15,STATE OF ELECTION,15,STATE OF ELECTION,15,STATE OF ELECTION,15,STATE OF ELECTION,15,STATE (Of Election),15,STATE (Of Election),15,STATE (Of Election),15,STATE (Of Election),15,STATE (Of Election),15,DATE(Of Election),15,STATE (OF ELECTION)
coverage_from_date,16,COVERAGE FROM DATE,16,COVERAGE FROM DATE,16,COVERAGE FROM DATE,16,COVERAGE FROM DATE,16,PRIMARY ELECTION ,16,PRIMARY ELECTION ,16,PRIMARY ELECTION ,16,PRIMARY ELECTION ,16,PRIMARY ELECTION ,16,STATE (Of Election),16,ACTIVITY PRIMARY
coverage_through_date,17,COVERAGE THROUGH DATE,17,COVERAGE THROUGH DATE,17,COVERAGE THROUGH DATE,17,COVERAGE THROUGH DATE,17,GENERAL ELECTION,17,GENERAL ELECTION,17,GENERAL ELECTION,17,GENERAL ELECTION,17,GENERAL ELECTION,17,PRIMARY ELECTION,17,ACTIVITY GENERAL
treasurer_last_name,18,TREASURER LAST NAME,18,TREASURER LAST NAME,18,TREASURER LAST NAME,18,TREASURER LAST NAME,18,SPECIAL ELECTION ,18,SPECIAL ELECTION ,18,SPECIAL ELECTION ,18,SPECIAL ELECTION ,18,SPECIAL ELECTION ,18,GENERAL ELECTION,18,ACTIVITY SPECIAL
treasurer_first_name,19,TREASURER FIRST NAME,19,TREASURER FIRST NAME,19,TREASURER FIRST NAME,19,TREASURER FIRST NAME,19,RUNOFF ELECTION ,19,RUNOFF ELECTION ,19,RUNOFF ELECTION ,19,RUNOFF ELECTION ,19,RUNOFF ELECTION ,19,SPECIAL ELECTION,19,ACTIVITY RUNOFF
treasurer_middle_name,20,TREASURER MIDDLE NAME,20,TREASURER MIDDLE NAME,20,TREASURER MIDDLE NAME,20,TREASURER MIDDLE NAME,20,DATE (Coverage From),20,DATE (Coverage From),20,DATE (Coverage From),20,DATE (Coverage From),20,DATE (Coverage From),20,RUNOFF ELECTION,20,DATE (COVERAGE FROM)
treasurer_prefix,21,TREASURER PREFIX,21,TREASURER PREFIX,21,TREASURER PREFIX,21,TREASURER PREFIX,21,DATE (Coverage To),21,DATE (Coverage To),21,DATE (Coverage To),21,DATE (Coverage To),21,DATE (Coverage To),21,DATE (Coverage From),21,DATE (COVERAGE TO)
treasurer_suffix,22,TREASURER SUFFIX,22,TREASURER SUFFIX,22,TREASURER SUFFIX,22,TREASURER SUFFIX,22,(6a) Total Contributions (NO Loans),22,(6a) Total Contributions (NO Loans),22,(6a) Total Contributions (NO Loans),22,(6a) Total Contributions (NO Loans),22,(6a) Total Contributions (NO Loans),22,DATE (Coverage To),22,(6a) Total Contributions (NO Loans)
date_signed,23,DATE SIGNED,23,DATE SIGNED,23,DATE SIGNED,23,DATE SIGNED,23,(6b) Total Contribution Refunds,23,(6b) Total Contribution Refunds,23,(6b) Total Contribution Refunds,23,(6b) Total Contribution Refunds,23,(6b) Total Contribution Refunds,23,(6a) Total Contributions (NO Loans),23,(6b) Total Contribution Refunds
6a_total_contributions_no_loans,24,(6a) Total Contributions (NO Loans),24,(6a) Total Contributions (NO Loans),24,CANDIDATE ID NUMBER,24,CANDIDATE ID NUMBER,24,(6c) Net Contributions,24,(6c) Net Contributions,24,(6c) Net Contributions,24,(6c) Net Contributions,24,(6c) Net Contributions,24,(6b) Total Contribution Refunds,24,(6c) Net Contributions
