canonical,^8.0|7.0,,^6.4|6.3|6.2|6.1,,^6.4|6.3|6.2,,^6.4|6.3|6.1,,^6.4|6.3,,^5.3|5.2,,^5.1|5.0|3,,^5.1|5.0,,^2,,^1,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FEC COMMITTEE ID NUMBER
committee_name,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEENAME,3,COMMITTEENAME,3,COMMITTEENAME,3,COMMITTEENAME,3,COMMITTEE NAME
change_of_address,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET 1,4,STREET 1
street_1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET 2,5,STREET 2
street_2,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET  2,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY
city,7,CITY,7,CITY,7,CITY,7,CITY,7,CITY,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE
state,8,STATE,8,STATE,8,STATE,8,STATE,8,STATE,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP
zip,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,CHG OF ADDRESS,9,CHG OF ADDRESS,9,CHG OF ADDRESS,9,CHG OF ADDRESS,9,CHG OF ADDRESS
activity_primary,10,ACTIVITY PRIMARY,10,ACTIVITY PRIMARY,10,ACTIVITY PRIMARY,10,ACTIVITY PRIMARY,10,ACTIVITY PRIMARY,10,ACTIVITY PRIMARY,10,ACTIVITY PRIMARY,10,ACTIVITY PRIMARY,10,ACTIVITY PRIMARY,10,ACTIVITY PRIMARY
activity_general,11,ACTIVITY GENERAL,11,ACTIVITY GENERAL,11,ACTIVITY GENERAL,11,ACTIVITY GENERAL,11,ACTIVITY GENERAL,11,ACTIVITY GENERAL,11,ACTIVITY GENERAL,11,ACTIVITY GENERAL,11,ACTIVITY GENERAL,11,ACTIVITY GENERAL
report_code,12,REPORT CODE,12,REPORT CODE,12,REPORT CODE,12,REPORT CODE,12,REPORT CODE,12,RPTCODE,12,RPTCODE,12,RPTCODE,12,RPTCODE,12,RPTCODE
election_code,13,ELECTION CODE  {was RPTPGI},13,ELECTION CODE  {was RPTPGI},13,ELECTION CODE  {was RPTPGI},13,ELECTION CODE  {was RPTPGI},13,ELECTION CODE  {was RPTPGI},13,RPTPGI,13,RPTPGI,13,RPTPGI,13,RPTPGI,13,RPTPGI
