canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^8.0|7.0|6.4|6.3|6.2,,^8.0|7.0|6.4|6.3|6.1,,^8.0|7.0|6.4|6.3,,^8.0|7.0|6.4|6.2|6.1,,^8.0|7.0|6.4|6.2,,^8.0|7.0|6.4|6.1,,^8.0|7.0|6.4,,^8.0|7.0|6.3|6.2|6.1,,^8.0|7.0|6.3|6.2,,^8.0|7.0|6.3|6.1,,^8.0|7.0|6.3,,^8.0|7.0|6.2|6.1,,^8.0|7.0|6.2,,^8.0|7.0|6.1,,^8.0|7.0,,^5.3|5.2,,^5.1|5.0,,^3,,^2,,^1,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FEC COMMITTEE ID NUMBER
committee_name,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME
change_of_address,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,CHANGE OF ADDRESS,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET 1,4,STREET 1
street_1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET 2,5,STREET 2
street_2,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET  2,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY
city,7,CITY,7,CITY,7,CITY,7,CITY,7,CITY,7,CITY,7,CITY,7,CITY,7,CITY,7,CITY,7,CITY,7,CITY,7,CITY,7,CITY,7,CITY,7,CITY,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE
state,8,STATE,8,STATE,8,STATE,8,STATE,8,STATE,8,STATE,8,STATE,8,STATE,8,STATE,8,STATE,8,STATE,8,STATE,8,STATE,8,STATE,8,STATE,8,STATE,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP
zip,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,CHG OF ADDRESS,9,CHG OF ADDRESS,9,CHG OF ADDRESS,9,CHG OF ADDRESS,9,CHG OF ADDRESS
report_code,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,QUALIFIED CMTE ,10,QUALIFIED CMTE ,10,QUALIFIED CMTE ,10,QUALIFIED CMTE,10,QUALIFIED CMTE blank or X
