canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^8.0|7.0|6.4|6.3|6.2,,^8.0|7.0|6.4|6.3|6.1,,^8.0|7.0|6.4|6.3,,^8.0|7.0|6.4|6.2|6.1,,^8.0|7.0|6.4|6.2,,^8.0|7.0|6.4|6.1,,^8.0|7.0|6.4,,^8.0|7.0|6.3|6.2|6.1,,^8.0|7.0|6.3|6.2,,^8.0|7.0|6.3|6.1,,^8.0|7.0|6.3,,^8.0|7.0|6.2|6.1,,^8.0|7.0|6.2,,^8.0|7.0|6.1,,^8.0|7.0,,^5.3,,^5.2|5.1|5.0,,^5.2|5.1,,^3,,^2,,^1,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_s_fec_id_number,2,FILER'S FEC ID NUMBER,2,FILER'S FEC ID NUMBER,2,FILER'S FEC ID NUMBER,2,FILER'S FEC ID NUMBER,2,FILER'S FEC ID NUMBER,2,FILER'S FEC ID NUMBER,2,FILER'S FEC ID NUMBER,2,FILER'S FEC ID NUMBER,2,FILER'S FEC ID NUMBER,2,FILER'S FEC ID NUMBER,2,FILER'S FEC ID NUMBER,2,FILER'S FEC ID NUMBER,2,FILER'S FEC ID NUMBER,2,FILER'S FEC ID NUMBER,2,FILER'S FEC ID NUMBER,2,FILER'S FEC ID NUMBER,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FEC COMMITTEE ID NUMBER
entity_type,3,ENTITY TYPE,3,ENTITY TYPE,3,ENTITY TYPE,3,ENTITY TYPE,3,ENTITY TYPE,3,ENTITY TYPE,3,ENTITY TYPE,3,ENTITY TYPE,3,ENTITY TYPE,3,ENTITY TYPE,3,ENTITY TYPE,3,ENTITY TYPE,3,ENTITY TYPE,3,ENTITY TYPE,3,ENTITY TYPE,3,ENTITY TYPE,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME
organization_name,4,ORGANIZATION NAME,4,ORGANIZATION NAME,4,ORGANIZATION NAME,4,ORGANIZATION NAME,4,ORGANIZATION NAME,4,ORGANIZATION NAME,4,ORGANIZATION NAME,4,ORGANIZATION NAME,4,ORGANIZATION NAME,4,ORGANIZATION NAME,4,ORGANIZATION NAME,4,ORGANIZATION NAME,4,ORGANIZATION NAME,4,ORGANIZATION NAME,4,ORGANIZATION NAME,4,ORGANIZATION NAME,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET 1,4,STREET 1
individual_last_name,5,INDIVIDUAL LAST NAME,5,INDIVIDUAL LAST NAME,5,INDIVIDUAL LAST NAME,5,INDIVIDUAL LAST NAME,5,INDIVIDUAL LAST NAME,5,INDIVIDUAL LAST NAME,5,INDIVIDUAL LAST NAME,5,INDIVIDUAL LAST NAME,5,INDIVIDUAL LAST NAME,5,INDIVIDUAL LAST NAME,5,INDIVIDUAL LAST NAME,5,INDIVIDUAL LAST NAME,5,INDIVIDUAL LAST NAME,5,INDIVIDUAL LAST NAME,5,INDIVIDUAL LAST NAME,5,INDIVIDUAL LAST NAME,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET 2,5,STREET 2
individual_first_name,6,INDIVIDUAL FIRST NAME,6,INDIVIDUAL FIRST NAME,6,INDIVIDUAL FIRST NAME,6,INDIVIDUAL FIRST NAME,6,INDIVIDUAL FIRST NAME,6,INDIVIDUAL FIRST NAME,6,INDIVIDUAL FIRST NAME,6,INDIVIDUAL FIRST NAME,6,INDIVIDUAL FIRST NAME,6,INDIVIDUAL FIRST NAME,6,INDIVIDUAL FIRST NAME,6,INDIVIDUAL FIRST NAME,6,INDIVIDUAL FIRST NAME,6,INDIVIDUAL FIRST NAME,6,INDIVIDUAL FIRST NAME,6,INDIVIDUAL FIRST NAME,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY
individual_middle_name,7,INDIVIDUAL MIDDLE NAME,7,INDIVIDUAL MIDDLE NAME,7,INDIVIDUAL MIDDLE NAME,7,INDIVIDUAL MIDDLE NAME,7,INDIVIDUAL MIDDLE NAME,7,INDIVIDUAL MIDDLE NAME,7,INDIVIDUAL MIDDLE NAME,7,INDIVIDUAL MIDDLE NAME,7,INDIVIDUAL MIDDLE NAME,7,INDIVIDUAL MIDDLE NAME,7,INDIVIDUAL MIDDLE NAME,7,INDIVIDUAL MIDDLE NAME,7,INDIVIDUAL MIDDLE NAME,7,INDIVIDUAL MIDDLE NAME,7,INDIVIDUAL MIDDLE NAME,7,INDIVIDUAL MIDDLE NAME,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE
individual_prefix,8,INDIVIDUAL PREFIX,8,INDIVIDUAL PREFIX,8,INDIVIDUAL PREFIX,8,INDIVIDUAL PREFIX,8,INDIVIDUAL PREFIX,8,INDIVIDUAL PREFIX,8,INDIVIDUAL PREFIX,8,INDIVIDUAL PREFIX,8,INDIVIDUAL PREFIX,8,INDIVIDUAL PREFIX,8,INDIVIDUAL PREFIX,8,INDIVIDUAL PREFIX,8,INDIVIDUAL PREFIX,8,INDIVIDUAL PREFIX,8,INDIVIDUAL PREFIX,8,INDIVIDUAL PREFIX,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP
individual_suffix,9,INDIVIDUAL SUFFIX,9,INDIVIDUAL SUFFIX,9,INDIVIDUAL SUFFIX,9,INDIVIDUAL SUFFIX,9,INDIVIDUAL SUFFIX,9,INDIVIDUAL SUFFIX,9,INDIVIDUAL SUFFIX,9,INDIVIDUAL SUFFIX,9,INDIVIDUAL SUFFIX,9,INDIVIDUAL SUFFIX,9,INDIVIDUAL SUFFIX,9,INDIVIDUAL SUFFIX,9,INDIVIDUAL SUFFIX,9,INDIVIDUAL SUFFIX,9,INDIVIDUAL SUFFIX,9,INDIVIDUAL SUFFIX,9,CHG OF ADDRESS,9,CHG OF ADDRESS,9,CHG OF ADDRESS,9,CHG OF ADDRESS,9,CHG OF ADDRESS,9,CHG OF ADDRESS
change_of_address,10,CHANGE OF ADDRESS,10,CHANGE OF ADDRESS,10,CHANGE OF ADDRESS,10,CHANGE OF ADDRESS,10,CHANGE OF ADDRESS,10,CHANGE OF ADDRESS,10,CHANGE OF ADDRESS,10,CHANGE OF ADDRESS,10,CHANGE OF ADDRESS,10,CHANGE OF ADDRESS,10,CHANGE OF ADDRESS,10,CHANGE OF ADDRESS,10,CHANGE OF ADDRESS,10,CHANGE OF ADDRESS,10,CHANGE OF ADDRESS,10,CHANGE OF ADDRESS,10,YESNO (Qual/Non Q),10,YESNO (Qual/Non Q),10,YESNO (Qual/Non Q),10,YESNO (Qual/Non Q),10,YESNO (QUAL/NON-Q),10,YESNO (QUAL/NON-Q)
street_1,11,STREET  1,11,STREET  1,11,STREET  1,11,STREET  1,11,STREET  1,11,STREET  1,11,STREET  1,11,STREET  1,11,STREET  1,11,STREET  1,11,STREET  1,11,STREET  1,11,STREET  1,11,STREET  1,11,STREET  1,11,STREET  1,11,INDEMP,11,INDEMP,11,INDEMP,11,INDEMP,11,INDEMP,11,INDEMP
street_2,12,STREET  2,12,STREET  2,12,STREET  2,12,STREET  2,12,STREET  2,12,STREET  2,12,STREET  2,12,STREET  2,12,STREET  2,12,STREET  2,12,STREET  2,12,STREET  2,12,STREET  2,12,STREET  2,12,STREET  2,12,STREET  2,12,INDOCC,12,INDOCC,12,INDOCC,12,INDOCC,12,INDOCC,12,INDOCC
city,13,CITY,13,CITY,13,CITY,13,CITY,13,CITY,13,CITY,13,CITY,13,CITY,13,CITY,13,CITY,13,CITY,13,CITY,13,CITY,13,CITY,13,CITY,13,CITY,13,RPTCODE,13,RPTCODE,13,RPTCODE,13,RPTCODE,13,RPTCODE,13,RPTCODE
state,14,STATE,14,STATE,14,STATE,14,STATE,14,STATE,14,STATE,14,STATE,14,STATE,14,STATE,14,STATE,14,STATE,14,STATE,14,STATE,14,STATE,14,STATE,14,STATE,14,SPACE HOLDER,14,RPTPGI,14,RPTPGI,14,RPTPGI,14,RPTPGI,14,RPTPGI
zip,15,ZIP,15,ZIP,15,ZIP,15,ZIP,15,ZIP,15,ZIP,15,ZIP,15,ZIP,15,ZIP,15,ZIP,15,ZIP,15,ZIP,15,ZIP,15,ZIP,15,ZIP,15,ZIP,15,SPACE HOLDER,15,DATE (Of Election),15,DATE (Of Election),15,DATE (Of Election),15,DATE (OF ELECTION),15,DATE (OF ELECTION)
yes_no_qualified_non_profit_corporation,16,YES/NO (Qualified Non-Profit Corporation),16,YES/NO (Qualified Non-Profit Corporation),16,YES/NO (Qualified Non-Profit Corporation),16,YES/NO (Qualified Non-Profit Corporation),16,YES/NO (Qualified Non-Profit Corporation),16,YES/NO (Qualified Non-Profit Corporation),16,YES/NO (Qualified Non-Profit Corporation),16,YES/NO (Qualified Non-Profit Corporation),16,YES/NO (Qualified Non-Profit Corporation),16,YES/NO (Qualified Non-Profit Corporation),16,YES/NO (Qualified Non-Profit Corporation),16,YES/NO (Qualified Non-Profit Corporation),16,YES/NO (Qualified Non-Profit Corporation),16,YES/NO (Qualified Non-Profit Corporation),16,YES/NO (Qualified Non-Profit Corporation),16,YES/NO (Qualified Non-Profit Corporation),16,SPACE HOLDER,16,STATE (Of Election),16,STATE (Of Election),16,STATE (Of Election),16,STATE (OF ELECTION),16,STATE (OF ELECTION)
individual_employer,17,INDIVIDUAL EMPLOYER,17,INDIVIDUAL EMPLOYER,17,INDIVIDUAL EMPLOYER,17,INDIVIDUAL EMPLOYER,17,INDIVIDUAL EMPLOYER,17,INDIVIDUAL EMPLOYER,17,INDIVIDUAL EMPLOYER,17,INDIVIDUAL EMPLOYER,17,INDIVIDUAL EMPLOYER,17,INDIVIDUAL EMPLOYER,17,INDIVIDUAL EMPLOYER,17,INDIVIDUAL EMPLOYER,17,INDIVIDUAL EMPLOYER,17,INDIVIDUAL EMPLOYER,17,INDIVIDUAL EMPLOYER,17,INDIVIDUAL EMPLOYER,17,DATE (Coverage From),17,DATE (Coverage From),17,DATE (Coverage From),17,DATE (Coverage From),17,DATE (COVERAGE FROM),17,DATE (COVERAGE FROM)
individual_occupation,18,INDIVIDUAL OCCUPATION,18,INDIVIDUAL OCCUPATION,18,INDIVIDUAL OCCUPATION,18,INDIVIDUAL OCCUPATION,18,INDIVIDUAL OCCUPATION,18,INDIVIDUAL OCCUPATION,18,INDIVIDUAL OCCUPATION,18,INDIVIDUAL OCCUPATION,18,INDIVIDUAL OCCUPATION,18,INDIVIDUAL OCCUPATION,18,INDIVIDUAL OCCUPATION,18,INDIVIDUAL OCCUPATION,18,INDIVIDUAL OCCUPATION,18,INDIVIDUAL OCCUPATION,18,INDIVIDUAL OCCUPATION,18,INDIVIDUAL OCCUPATION,18,DATE (Coverage To),18,DATE (Coverage To),18,DATE (Coverage To),18,DATE (Coverage To),18,DATE (COVERAGE TO),18,DATE (COVERAGE TO)
report_code,19,REPORT CODE,19,REPORT CODE,19,REPORT CODE,19,REPORT CODE,19,REPORT CODE,19,REPORT CODE,19,REPORT CODE,19,REPORT CODE,19,REPORT CODE,19,REPORT CODE,19,REPORT CODE,19,REPORT CODE,19,REPORT CODE,19,REPORT CODE,19,REPORT CODE,19,REPORT CODE,19,TOTAL CONTRIBUTION,19,TOTAL CONTRIBUTION,19,TOTAL CONTRIBUTION,19,TOTAL CONTRIBUTION,19,TOTAL CONTRIBUTION,19,TOTAL CONTRIBUTION total on page 1
