canonical,^8.0,,^7.0|6.4|6.3|6.2|6.1,,^7.0|6.4|6.3|6.2,,^7.0|6.4|6.3|6.1,,^7.0|6.4|6.3,,^7.0|6.4|6.2|6.1,,^7.0|6.4|6.2,,^7.0|6.4|6.1,,^7.0|6.4,,^5.3,,^5.2|5.1,,^5.0,,^3,,^2,,^1,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FEC COMMITTEE ID NUMBER
transaction_id_number,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,ENTITY TYPE,3,ENTITY TYPE,3,ENTITY TYPE,3,ENTITY TYPE,3,ENTITY TYPE,3,SEQUENCE NUMBER
entity_type,4,ENTITY TYPE,4,ENTITY TYPE,4,ENTITY TYPE,4,ENTITY TYPE,4,ENTITY TYPE,4,ENTITY TYPE,4,ENTITY TYPE,4,ENTITY TYPE,4,ENTITY TYPE,4,NAME (Payee),4,NAME (Payee),4,NAME (Payee),4,NAME (Payee),4,NAME (Payee),4,IND/NAME (PAYEE)
payee_organization_name,5,PAYEE ORGANIZATION NAME,5,PAYEE ORGANIZATION NAME,5,PAYEE ORGANIZATION NAME,5,PAYEE ORGANIZATION NAME,5,PAYEE ORGANIZATION NAME,5,PAYEE ORGANIZATION NAME,5,PAYEE ORGANIZATION NAME,5,PAYEE ORGANIZATION NAME,5,PAYEE ORGANIZATION NAME,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET 1,5,STREET 1
payee_last_name,6,PAYEE LAST NAME,6,PAYEE LAST NAME,6,PAYEE LAST NAME,6,PAYEE LAST NAME,6,PAYEE LAST NAME,6,PAYEE LAST NAME,6,PAYEE LAST NAME,6,PAYEE LAST NAME,6,PAYEE LAST NAME,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET 2,6,STREET 2
payee_first_name,7,PAYEE FIRST NAME,7,PAYEE FIRST NAME,7,PAYEE FIRST NAME,7,PAYEE FIRST NAME,7,PAYEE FIRST NAME,7,PAYEE FIRST NAME,7,PAYEE FIRST NAME,7,PAYEE FIRST NAME,7,PAYEE FIRST NAME,7,CITY,7,CITY,7,CITY,7,CITY,7,CITY,7,CITY
payee_middle_name,8,PAYEE MIDDLE NAME,8,PAYEE MIDDLE NAME,8,PAYEE MIDDLE NAME,8,PAYEE MIDDLE NAME,8,PAYEE MIDDLE NAME,8,PAYEE MIDDLE NAME,8,PAYEE MIDDLE NAME,8,PAYEE MIDDLE NAME,8,PAYEE MIDDLE NAME,8,STATE,8,STATE,8,STATE,8,STATE,8,STATE,8,STATE
payee_prefix,9,PAYEE PREFIX,9,PAYEE PREFIX,9,PAYEE PREFIX,9,PAYEE PREFIX,9,PAYEE PREFIX,9,PAYEE PREFIX,9,PAYEE PREFIX,9,PAYEE PREFIX,9,PAYEE PREFIX,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,ZIP
payee_suffix,10,PAYEE SUFFIX,10,PAYEE SUFFIX,10,PAYEE SUFFIX,10,PAYEE SUFFIX,10,PAYEE SUFFIX,10,PAYEE SUFFIX,10,PAYEE SUFFIX,10,PAYEE SUFFIX,10,PAYEE SUFFIX,10,TRANS {Purpose} DESCRIP,10,TRANS {Purpose} DESCRIP,10,TRANS {Purpose} DESCRIP,10,TRANSDESC,10,TRANSDESC,10,TRANSDESC
