canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^8.0|7.0|6.4|6.3|6.2,,^8.0|7.0|6.4|6.3|6.1,,^8.0|7.0|6.4|6.3,,^8.0|7.0|6.4|6.2|6.1,,^8.0|7.0|6.4|6.2,,^8.0|7.0|6.4|6.1,,^8.0|7.0|6.4,,^8.0|7.0|6.3|6.2|6.1,,^8.0|7.0|6.3|6.2,,^8.0|7.0|6.3|6.1,,^8.0|7.0|6.3,,^8.0|7.0|6.2|6.1,,^8.0|7.0|6.2,,^8.0|7.0|6.1,,^8.0|7.0,,^5.3|5.2|5.1|5.0|3,,^5.3|5.2|5.1|5.0,,^5.3|5.2|5.1|3,,^5.3|5.2|5.1,,^5.3|5.2|5.0|3,,^5.3|5.2|5.0,,^5.3|5.2|3,,^5.3|5.2,,^2,,^1,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FEC COMMITTEE ID NUMBER
organization_name,3,ORGANIZATION NAME,3,ORGANIZATION NAME,3,ORGANIZATION NAME,3,ORGANIZATION NAME,3,ORGANIZATION NAME,3,ORGANIZATION NAME,3,ORGANIZATION NAME,3,ORGANIZATION NAME,3,ORGANIZATION NAME,3,ORGANIZATION NAME,3,ORGANIZATION NAME,3,ORGANIZATION NAME,3,ORGANIZATION NAME,3,ORGANIZATION NAME,3,ORGANIZATION NAME,3,ORGANIZATION NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME
organization_street_1,4,ORGANIZATION STREET  1,4,ORGANIZATION STREET  1,4,ORGANIZATION STREET  1,4,ORGANIZATION STREET  1,4,ORGANIZATION STREET  1,4,ORGANIZATION STREET  1,4,ORGANIZATION STREET  1,4,ORGANIZATION STREET  1,4,ORGANIZATION STREET  1,4,ORGANIZATION STREET  1,4,ORGANIZATION STREET  1,4,ORGANIZATION STREET  1,4,ORGANIZATION STREET  1,4,ORGANIZATION STREET  1,4,ORGANIZATION STREET  1,4,ORGANIZATION STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET 1,4,STREET 1
organization_street_2,5,ORGANIZATION STREET  2,5,ORGANIZATION STREET  2,5,ORGANIZATION STREET  2,5,ORGANIZATION STREET  2,5,ORGANIZATION STREET  2,5,ORGANIZATION STREET  2,5,ORGANIZATION STREET  2,5,ORGANIZATION STREET  2,5,ORGANIZATION STREET  2,5,ORGANIZATION STREET  2,5,ORGANIZATION STREET  2,5,ORGANIZATION STREET  2,5,ORGANIZATION STREET  2,5,ORGANIZATION STREET  2,5,ORGANIZATION STREET  2,5,ORGANIZATION STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET 2,5,STREET 2
organization_city,6,ORGANIZATION CITY,6,ORGANIZATION CITY,6,ORGANIZATION CITY,6,ORGANIZATION CITY,6,ORGANIZATION CITY,6,ORGANIZATION CITY,6,ORGANIZATION CITY,6,ORGANIZATION CITY,6,ORGANIZATION CITY,6,ORGANIZATION CITY,6,ORGANIZATION CITY,6,ORGANIZATION CITY,6,ORGANIZATION CITY,6,ORGANIZATION CITY,6,ORGANIZATION CITY,6,ORGANIZATION CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY
organization_state,7,ORGANIZATION STATE,7,ORGANIZATION STATE,7,ORGANIZATION STATE,7,ORGANIZATION STATE,7,ORGANIZATION STATE,7,ORGANIZATION STATE,7,ORGANIZATION STATE,7,ORGANIZATION STATE,7,ORGANIZATION STATE,7,ORGANIZATION STATE,7,ORGANIZATION STATE,7,ORGANIZATION STATE,7,ORGANIZATION STATE,7,ORGANIZATION STATE,7,ORGANIZATION STATE,7,ORGANIZATION STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE
organization_zip,8,ORGANIZATION ZIP,8,ORGANIZATION ZIP,8,ORGANIZATION ZIP,8,ORGANIZATION ZIP,8,ORGANIZATION ZIP,8,ORGANIZATION ZIP,8,ORGANIZATION ZIP,8,ORGANIZATION ZIP,8,ORGANIZATION ZIP,8,ORGANIZATION ZIP,8,ORGANIZATION ZIP,8,ORGANIZATION ZIP,8,ORGANIZATION ZIP,8,ORGANIZATION ZIP,8,ORGANIZATION ZIP,8,ORGANIZATION ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP
organization_type,9,ORGANIZATION TYPE,9,ORGANIZATION TYPE,9,ORGANIZATION TYPE,9,ORGANIZATION TYPE,9,ORGANIZATION TYPE,9,ORGANIZATION TYPE,9,ORGANIZATION TYPE,9,ORGANIZATION TYPE,9,ORGANIZATION TYPE,9,ORGANIZATION TYPE,9,ORGANIZATION TYPE,9,ORGANIZATION TYPE,9,ORGANIZATION TYPE,9,ORGANIZATION TYPE,9,ORGANIZATION TYPE,9,ORGANIZATION TYPE,9,ORGANIZATION TYPE,9,ORGANIZATION TYPE,9,ORGANIZATION TYPE,9,ORGANIZATION TYPE,9,ORGANIZATION TYPE,9,ORGANIZATION TYPE,9,ORGANIZATION TYPE,9,ORGANIZATION TYPE,9,ORGANIZATION TYPE,9,ORGANIZATION TYPE
report_code,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,REPORT CODE,10,RPTCODE,10,RPTCODE,10,RPTCODE,10,RPTCODE,10,RPTCODE,10,RPTCODE,10,RPTCODE,10,RPTCODE,10,RPTCODE,10,RPTCODE
