canonical,^6.4|6.3|6.2|6.1,,^6.4|6.3|6.2,,^6.4|6.3|6.1,,^6.4|6.3,,^5.3,,^5.2|5.1|5.0|3,,^5.2|5.1|5.0,,^5.2|5.1|3,,^5.2|5.1,,^2,,^1,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FEC COMMITTEE ID NUMBER
transaction_id_number,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,CREDITOR CODE,3,CREDITOR CODE,3,CREDITOR CODE,3,CREDITOR CODE,3,CREDITOR CODE,3,CREDITOR CODE,3,SEQUENCE NUMBER
entity_type,4,ENTITY TYPE,4,ENTITY TYPE,4,ENTITY TYPE,4,ENTITY TYPE,4,NAME (Contributor/Lender),4,NAME (Contributor/Lender),4,NAME (Contributor/Lender),4,NAME (Contributor/Lender),4,NAME (Contributor/Lender),4,NAME(Contributor/Lender),4,IND/NAME (CONTRIB/LENDER)
creditor_organization_name,5,CREDITOR ORGANIZATION NAME,5,CREDITOR ORGANIZATION NAME,5,CREDITOR ORGANIZATION NAME,5,CREDITOR ORGANIZATION NAME,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET 1,5,STREET 1
creditor_last_name,6,CREDITOR LAST NAME,6,CREDITOR LAST NAME,6,CREDITOR LAST NAME,6,CREDITOR LAST NAME,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET 2,6,STREET 2
creditor_first_name,7,CREDITOR FIRST NAME,7,CREDITOR FIRST NAME,7,CREDITOR FIRST NAME,7,CREDITOR FIRST NAME,7,CITY,7,CITY,7,CITY,7,CITY,7,CITY,7,CITY,7,CITY
creditor_middle_name,8,CREDITOR MIDDLE NAME,8,CREDITOR MIDDLE NAME,8,CREDITOR MIDDLE NAME,8,CREDITOR MIDDLE NAME,8,STATE,8,STATE,8,STATE,8,STATE,8,STATE,8,STATE,8,STATE
creditor_prefix,9,CREDITOR PREFIX,9,CREDITOR PREFIX,9,CREDITOR PREFIX,9,CREDITOR PREFIX,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,ZIP
creditor_suffix,10,CREDITOR SUFFIX,10,CREDITOR SUFFIX,10,CREDITOR SUFFIX,10,CREDITOR SUFFIX,10,YESNO (Is This A Disputed Debt),10,YESNO (Is This A Disputed Debt),10,YESNO (Is This A Disputed Debt),10,YESNO (Is This A Disputed Debt),10,YESNO (Is This A Disputed Debt),10,YESNO (IS THIS A DISPUTED DEBT),10,TYPE OF CREDITOR CODE
creditor_street_1,11,CREDITOR STREET  1,11,CREDITOR STREET  1,11,CREDITOR STREET  1,11,CREDITOR STREET  1,11,DATE (Incurred),11,DATE (Incurred),11,DATE (Incurred),11,DATE (Incurred),11,DATE (Incurred),11,DATE (INCURRED),11,YESNO (IS THIS A DISPUTED DEBT)
creditor_street_2,12,CREDITOR STREET  2,12,CREDITOR STREET  2,12,CREDITOR STREET  2,12,CREDITOR STREET  2,12,AMOUNT OWED TO CREDITOR,12,AMOUNT OWED TO CREDITOR,12,AMOUNT OWED TO CREDITOR,12,AMOUNT OWED TO CREDITOR,12,AMOUNT OWED TO CREDITOR,12,AMOUNT OWED TO CREDITOR,12,DATE (INCURRED)
creditor_city,13,CREDITOR CITY,13,CREDITOR CITY,13,CREDITOR CITY,13,CREDITOR CITY,13,AMOUNT EXPECTED TO,13,AMOUNT EXPECTED TO,13,AMOUNT EXPECTED TO,13,AMOUNT EXPECTED TO,13,AMOUNT EXPECTED TO,13,AMOUNT EXPECTED TO PAY/OFFER SETTLEMENT,13,AMOUNT OWED TO CREDITOR
creditor_state,14,CREDITOR STATE,14,CREDITOR STATE,14,CREDITOR STATE,14,CREDITOR STATE,14,FEC COMMITTEE ID NUMBER,14,FEC COMMITTEE ID NUMBER,14,FEC COMMITTEE ID NUMBER,14,FEC COMMITTEE ID NUMBER,14,FEC COMMITTEE ID NUMBER,14,FEC-COMMITTEE-ID-NUMBER,14,AMOUNT EXPECTED TO PAY/OFFER SETTLEMENT
creditor_zip,15,CREDITOR ZIP,15,CREDITOR ZIP,15,CREDITOR ZIP,15,CREDITOR ZIP,15,FEC CANDIDATE ID NUMBER,15,FEC CANDIDATE ID NUMBER,15,FEC CANDIDATE ID NUMBER,15,FEC CANDIDATE ID NUMBER,15,FEC CANDIDATE ID NUMBER,15,FEC-CANDIDATE-ID-NUMBER,15,AMENDED
date_incurred,16,DATE INCURRED,16,DATE INCURRED,16,DATE INCURRED,16,DATE INCURRED,16,CANDIDATE NAME,16,CANDIDATE NAME,16,CANDIDATE NAME,16,CANDIDATE NAME,16,CANDIDATE NAME,16,CANDIDATE-NAME,,
amount_owed_to_creditor,17,AMOUNT OWED TO CREDITOR,17,AMOUNT OWED TO CREDITOR,17,AMOUNT OWED TO CREDITOR,17,AMOUNT OWED TO CREDITOR,17,CAN/OFFICE,17,CAN/OFFICE,17,CAN/OFFICE,17,CAN/OFFICE,17,CAN/OFFICE,17,CAND-OFFICE,,
amount_expected_to_pay_offer,18,AMOUNT EXPECTED TO PAY/OFFER,18,AMOUNT EXPECTED TO PAY/OFFER,18,AMOUNT EXPECTED TO PAY/OFFER,18,AMOUNT EXPECTED TO PAY/OFFER,18,CAN/STATE,18,CAN/STATE,18,CAN/STATE,18,CAN/STATE,18,CAN/STATE,18,CAND-STATE (OF ELECTION),,
creditor_code,19,CREDITOR CODE,19,CREDITOR CODE,19,CREDITOR CODE,19,CREDITOR CODE,19,CAN/DIST,19,CAN/DIST,19,CAN/DIST,19,CAN/DIST,19,CAN/DIST,19,CAND-DISTRICT,,
yes_no_disputed_debt?,20,YES/NO (Disputed Debt?),20,YES/NO (Disputed Debt?),20,YES/NO (Disputed Debt?),20,YES/NO (Disputed Debt?),20,SPACE HOLDER,20,AMENDED CD,20,AMENDED CD,20,AMENDED CD,20,AMENDED CD,20,AMENDED CD,,
creditor_committee_id_number,21,CREDITOR COMMITTEE ID NUMBER,21,CREDITOR COMMITTEE ID NUMBER,21,CREDITOR COMMITTEE ID NUMBER,21,CREDITOR COMMITTEE ID NUMBER,21,TRAN ID,21,TRAN ID,21,TRAN ID,21,TRAN ID,21,TRAN ID,21,TRAN_ID,,
creditor_candidate_id_number,22,CREDITOR CANDIDATE ID NUMBER,22,CREDITOR CANDIDATE ID NUMBER,22,CREDITOR CANDIDATE ID NUMBER,22,CREDITOR CANDIDATE ID NUMBER,,,,,,,,,,,22,ORIG_TRAN_ID,,
