canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^8.0|7.0|6.4|6.3|6.2,,^8.0|7.0|6.4|6.3|6.1,,^8.0|7.0|6.4|6.3,,^8.0|7.0|6.4|6.2|6.1,,^8.0|7.0|6.4|6.2,,^8.0|7.0|6.4|6.1,,^8.0|7.0|6.4,,^8.0|7.0|6.3|6.2|6.1,,^8.0|7.0|6.3|6.2,,^8.0|7.0|6.3|6.1,,^8.0|7.0|6.3,,^8.0|7.0|6.2|6.1,,^8.0|7.0|6.2,,^8.0|7.0|6.1,,^8.0|7.0,,^5.3,,^5.2|5.1,,^5.0,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID
transaction_id_number,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,ENTITY TYPE,3,ENTITY TYPE,3,ENTITY TYPE
back_reference_tran_id_number,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,CONTRIBUTOR NAME,4,CONTRIBUTOR NAME,4,CONTRIBUTOR NAME
back_reference_sched_name,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,STREET  1,5,STREET  1,5,STREET  1
entity_type,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,STREET  2,6,STREET  2,6,STREET  2
donor_organization_name,7,DONOR ORGANIZATION NAME,7,DONOR ORGANIZATION NAME,7,DONOR ORGANIZATION NAME,7,DONOR ORGANIZATION NAME,7,DONOR ORGANIZATION NAME,7,DONOR ORGANIZATION NAME,7,DONOR ORGANIZATION NAME,7,DONOR ORGANIZATION NAME,7,DONOR ORGANIZATION NAME,7,DONOR ORGANIZATION NAME,7,DONOR ORGANIZATION NAME,7,DONOR ORGANIZATION NAME,7,DONOR ORGANIZATION NAME,7,DONOR ORGANIZATION NAME,7,DONOR ORGANIZATION NAME,7,DONOR ORGANIZATION NAME,7,CITY,7,CITY,7,CITY
donor_last_name,8,DONOR LAST NAME,8,DONOR LAST NAME,8,DONOR LAST NAME,8,DONOR LAST NAME,8,DONOR LAST NAME,8,DONOR LAST NAME,8,DONOR LAST NAME,8,DONOR LAST NAME,8,DONOR LAST NAME,8,DONOR LAST NAME,8,DONOR LAST NAME,8,DONOR LAST NAME,8,DONOR LAST NAME,8,DONOR LAST NAME,8,DONOR LAST NAME,8,DONOR LAST NAME,8,STATE,8,STATE,8,STATE
donor_first_name,9,DONOR FIRST NAME,9,DONOR FIRST NAME,9,DONOR FIRST NAME,9,DONOR FIRST NAME,9,DONOR FIRST NAME,9,DONOR FIRST NAME,9,DONOR FIRST NAME,9,DONOR FIRST NAME,9,DONOR FIRST NAME,9,DONOR FIRST NAME,9,DONOR FIRST NAME,9,DONOR FIRST NAME,9,DONOR FIRST NAME,9,DONOR FIRST NAME,9,DONOR FIRST NAME,9,DONOR FIRST NAME,9,ZIP,9,ZIP,9,ZIP
donor_middle_name,10,DONOR MIDDLE NAME,10,DONOR MIDDLE NAME,10,DONOR MIDDLE NAME,10,DONOR MIDDLE NAME,10,DONOR MIDDLE NAME,10,DONOR MIDDLE NAME,10,DONOR MIDDLE NAME,10,DONOR MIDDLE NAME,10,DONOR MIDDLE NAME,10,DONOR MIDDLE NAME,10,DONOR MIDDLE NAME,10,DONOR MIDDLE NAME,10,DONOR MIDDLE NAME,10,DONOR MIDDLE NAME,10,DONOR MIDDLE NAME,10,DONOR MIDDLE NAME,10,ITEM ELECT CD,10,ITEM ELECT CD,10,ITEM ELECT CD
