canonical,^8.0,,^7.0|6.4|6.3|6.2|6.1,,^7.0|6.4|6.3|6.2,,^7.0|6.4|6.3|6.1,,^7.0|6.4|6.3,,^7.0|6.4|6.2|6.1,,^7.0|6.4|6.2,,^7.0|6.4|6.1,,^7.0|6.4,,^5.3,,^5.2|5.1,,^5.0,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID
transaction_id_number,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,ENTITY TYPE,3,ENTITY TYPE,3,ENTITY TYPE
back_reference_tran_id_number,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,RECIPIENT NAME,4,RECIPIENT NAME,4,RECIPIENT NAME
back_reference_sched_name,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,STREET  1,5,STREET  1,5,STREET  1
entity_type,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,STREET  2,6,STREET  2,6,STREET  2
payee_organization_name,7,PAYEE ORGANIZATION NAME,7,PAYEE ORGANIZATION NAME,7,PAYEE ORGANIZATION NAME,7,PAYEE ORGANIZATION NAME,7,PAYEE ORGANIZATION NAME,7,PAYEE ORGANIZATION NAME,7,PAYEE ORGANIZATION NAME,7,PAYEE ORGANIZATION NAME,7,PAYEE ORGANIZATION NAME,7,CITY,7,CITY,7,CITY
payee_last_name,8,PAYEE LAST NAME,8,PAYEE LAST NAME,8,PAYEE LAST NAME,8,PAYEE LAST NAME,8,PAYEE LAST NAME,8,PAYEE LAST NAME,8,PAYEE LAST NAME,8,PAYEE LAST NAME,8,PAYEE LAST NAME,8,STATE,8,STATE,8,STATE
payee_first_name,9,PAYEE FIRST NAME,9,PAYEE FIRST NAME,9,PAYEE FIRST NAME,9,PAYEE FIRST NAME,9,PAYEE FIRST NAME,9,PAYEE FIRST NAME,9,PAYEE FIRST NAME,9,PAYEE FIRST NAME,9,PAYEE FIRST NAME,9,ZIP,9,ZIP,9,ZIP
payee_middle_name,10,PAYEE MIDDLE NAME,10,PAYEE MIDDLE NAME,10,PAYEE MIDDLE NAME,10,PAYEE MIDDLE NAME,10,PAYEE MIDDLE NAME,10,PAYEE MIDDLE NAME,10,PAYEE MIDDLE NAME,10,PAYEE MIDDLE NAME,10,PAYEE MIDDLE NAME,10,TRANS {Purpose} CODE,10,TRANS {Purpose} CODE,10,TRANS {Purpose} CODE
payee_prefix,11,PAYEE PREFIX,11,PAYEE PREFIX,11,PAYEE PREFIX,11,PAYEE PREFIX,11,PAYEE PREFIX,11,PAYEE PREFIX,11,PAYEE PREFIX,11,PAYEE PREFIX,11,PAYEE PREFIX,11,TRANS {Purpose} DESCRIP,11,TRANS {Purpose} DESCRIP,11,TRANS {Purpose} DESCRIP
payee_suffix,12,PAYEE SUFFIX,12,PAYEE SUFFIX,12,PAYEE SUFFIX,12,PAYEE SUFFIX,12,PAYEE SUFFIX,12,PAYEE SUFFIX,12,PAYEE SUFFIX,12,PAYEE SUFFIX,12,PAYEE SUFFIX,12,ITEM ELECT CD,12,ITEM ELECT CD,12,ITEM ELECT CD
payee_street_1,13,PAYEE STREET  1,13,PAYEE STREET  1,13,PAYEE STREET  1,13,PAYEE STREET  1,13,PAYEE STREET  1,13,PAYEE STREET  1,13,PAYEE STREET  1,13,PAYEE STREET  1,13,PAYEE STREET  1,13,ITEM ELECT OTHER,13,ITEM ELECT OTHER,13,ITEM ELECT OTHER
payee_street_2,14,PAYEE STREET  2,14,PAYEE STREET  2,14,PAYEE STREET  2,14,PAYEE STREET  2,14,PAYEE STREET  2,14,PAYEE STREET  2,14,PAYEE STREET  2,14,PAYEE STREET  2,14,PAYEE STREET  2,14,DATE OF EXPENDITURE,14,DATE OF EXPENDITURE,14,DATE OF EXPENDITURE
payee_city,15,PAYEE CITY,15,PAYEE CITY,15,PAYEE CITY,15,PAYEE CITY,15,PAYEE CITY,15,PAYEE CITY,15,PAYEE CITY,15,PAYEE CITY,15,PAYEE CITY,15,AMOUNT OF EXPENDITURE,15,AMOUNT OF EXPENDITURE,15,AMOUNT OF EXPENDITURE
payee_state,16,PAYEE STATE,16,PAYEE STATE,16,PAYEE STATE,16,PAYEE STATE,16,PAYEE STATE,16,PAYEE STATE,16,PAYEE STATE,16,PAYEE STATE,16,PAYEE STATE,16,SPACE HOLDER,16,FEC COMMITTEE ID NUMBER,16,FEC COMMITTEE ID NUMBER
payee_zip,17,PAYEE ZIP,17,PAYEE ZIP,17,PAYEE ZIP,17,PAYEE ZIP,17,PAYEE ZIP,17,PAYEE ZIP,17,PAYEE ZIP,17,PAYEE ZIP,17,PAYEE ZIP,17,SPACE HOLDER,17,FEC CANDIDATE ID NUMBER,17,FEC CANDIDATE ID NUMBER
election_code,18,ELECTION CODE,18,ELECTION CODE,18,ELECTION CODE,18,ELECTION CODE,18,ELECTION CODE,18,ELECTION CODE,18,ELECTION CODE,18,ELECTION CODE,18,ELECTION CODE,18,SPACE HOLDER,18,CANDIDATE NAME,18,CANDIDATE NAME
election_other_description,19,ELECTION OTHER DESCRIPTION ,19,ELECTION OTHER DESCRIPTION ,19,ELECTION OTHER DESCRIPTION ,19,ELECTION OTHER DESCRIPTION ,19,ELECTION OTHER DESCRIPTION ,19,ELECTION OTHER DESCRIPTION ,19,ELECTION OTHER DESCRIPTION ,19,ELECTION OTHER DESCRIPTION ,19,ELECTION OTHER DESCRIPTION ,19,SPACE HOLDER,19,CAN/OFFICE,19,CAN/OFFICE
expenditure_date,20,EXPENDITURE DATE,20,EXPENDITURE DATE,20,EXPENDITURE DATE,20,EXPENDITURE DATE,20,EXPENDITURE DATE,20,EXPENDITURE DATE,20,EXPENDITURE DATE,20,EXPENDITURE DATE,20,EXPENDITURE DATE,20,SPACE HOLDER,20,CAN/STATE   ,20,CAN/STATE   
expenditure_amount,21,EXPENDITURE AMOUNT,21,EXPENDITURE AMOUNT,21,EXPENDITURE AMOUNT,21,EXPENDITURE AMOUNT,21,EXPENDITURE AMOUNT,21,EXPENDITURE AMOUNT,21,EXPENDITURE AMOUNT,21,EXPENDITURE AMOUNT,21,EXPENDITURE AMOUNT,21,SPACE HOLDER,21,CAN/DIST,21,CAN/DIST
expenditure_purpose_descrip,22,EXPENDITURE PURPOSE DESCRIP,22,EXPENDITURE PURPOSE CODE,22,EXPENDITURE PURPOSE CODE,22,EXPENDITURE PURPOSE CODE,22,EXPENDITURE PURPOSE CODE,22,EXPENDITURE PURPOSE CODE,22,EXPENDITURE PURPOSE CODE,22,EXPENDITURE PURPOSE CODE,22,EXPENDITURE PURPOSE CODE,22,SPACE HOLDER,22,CONDUIT NAME,22,CONDUIT NAME
payee_employer,23,PAYEE EMPLOYER,23,EXPENDITURE PURPOSE DESCRIP,23,EXPENDITURE PURPOSE DESCRIP,23,EXPENDITURE PURPOSE DESCRIP,23,EXPENDITURE PURPOSE DESCRIP,23,EXPENDITURE PURPOSE DESCRIP,23,EXPENDITURE PURPOSE DESCRIP,23,EXPENDITURE PURPOSE DESCRIP,23,EXPENDITURE PURPOSE DESCRIP,23,SPACE HOLDER,23,CONDUIT STREET 1,23,CONDUIT STREET 1
payee_occupation,24,PAYEE OCCUPATION,24,PAYEE EMPLOYER,24,PAYEE EMPLOYER,24,PAYEE EMPLOYER,24,PAYEE EMPLOYER,24,PAYEE EMPLOYER,24,PAYEE EMPLOYER,24,PAYEE EMPLOYER,24,PAYEE EMPLOYER,24,SPACE HOLDER,24,CONDUIT STREET 2,24,CONDUIT STREET 2
communication_date,25,COMMUNICATION DATE,25,PAYEE OCCUPATION,25,PAYEE OCCUPATION,25,PAYEE OCCUPATION,25,PAYEE OCCUPATION,25,PAYEE OCCUPATION,25,PAYEE OCCUPATION,25,PAYEE OCCUPATION,25,PAYEE OCCUPATION,25,SPACE HOLDER,25,CONDUIT CITY,25,CONDUIT CITY
,,,26,COMMUNICATION DATE,26,COMMUNICATION DATE,26,COMMUNICATION DATE,26,COMMUNICATION DATE,26,COMMUNICATION DATE,26,COMMUNICATION DATE,26,COMMUNICATION DATE,26,COMMUNICATION DATE,26,SPACE HOLDER,26,CONDUIT STATE,26,CONDUIT STATE
,,,,,,,,,,,,,,,,,,,27,SPACE HOLDER,27,CONDUIT ZIP,27,CONDUIT ZIP
,,,,,,,,,,,,,,,,,,,28,SPACE HOLDER,28,MEMO CODE,28,MEMO CODE
,,,,,,,,,,,,,,,,,,,29,SPACE HOLDER,29,MEMO TEXT,29,MEMO TEXT
,,,,,,,,,,,,,,,,,,,30,SPACE HOLDER,30,AMENDED CD,30,AMENDED CD
,,,,,,,,,,,,,,,,,,,31,TRAN ID,31,TRAN ID,31,TRAN ID
,,,,,,,,,,,,,,,,,,,32,BACK REF TRAN ID,32,BACK REF TRAN ID,32,BACK REF TRAN ID
,,,,,,,,,,,,,,,,,,,33,BACK REF SCHED NAME,33,BACK REF SCHED NAME,33,BACK REF SCHED NAME
,,,,,,,,,,,,,,,,,,,34,SPACE HOLDER,34,Reference to SI or SL system code that identifies the Account,34,Reference to SI or SL system code that identifies the Account
,,,,,,,,,,,,,,,,,,,35,SPACE HOLDER,35,Refund or Disposal of Excess ,35,Refund or Disposal of Excess 
,,,,,,,,,,,,,,,,,,,36,CATEGORY CODE,36,CATEGORY CODE,36,CATEGORY CODE
,,,,,,,,,,,,,,,,,,,37,COMMUNICATION DATE,37,COMMUNICATION DATE,37,COMMUNICATION DATE
,,,,,,,,,,,,,,,,,,,38,RECIPIENT ORGANIZATION NAME,38,RECIPIENT ORGANIZATION NAME,,
,,,,,,,,,,,,,,,,,,,39,RECIPIENT LAST NAME,39,RECIPIENT LAST NAME,,
