canonical,^2,,^1,
form_type,1,FORM-TYPE,1,FORM TYPE
filer_fec_cmte_id,2,FILER FEC CMTE ID,2,FEC COMMITTEE ID NUMBER
entity_type,3,ENTITY-TYPE,3,IND/NAME (CONTRIB/LENDER)
contributor_name,4,CONTRIBUTOR-NAME,4,STREET 1
street_1,5,STREET 1,5,STREET 2
street_2,6,STREET 2,6,CITY
city,7,CITY,7,STATE
state,8,STATE,8,ZIP
zip,9,ZIP,9,ITEM-PG-OTHER
item_elect_cd,10,ITEM-ELECT-CD,10,PG-OTHER-DESCRIPTION
item_elect_other,11,ITEM-ELECT-OTHER,11,INDEMP
ind_employer,12,IND-EMPLOYER,12,INDOCC
ind_occup,13,IND-OCCUP,13,AGGR YTD AMOUNT (TOTAL FOR THE YEAR)
aggregate_amt_ytd,14,AGGREGATE-AMT-YTD,14,DATE (OF CONTRIBUTION)
date_received,15,DATE-RECEIVED,15,AMOUNT RECEIVED
amount_received,16,AMOUNT-RECEIVED,16,RECEIPTCODE
trans_code,17,TRANS-CODE,17,TRANSDESC
trans_descrip,18,TRANS-DESCRIP,18,FEC COMMITTEE ID NUMBER
fec_committee_id_number,19,FEC-COMMITTEE-ID-NUMBER,19,COMMITTEE NAME
fec_candidate_id_number,20,FEC-CANDIDATE-ID-NUMBER,20,STREET 1
candidate_name,21,CANDIDATE-NAME,21,STREET 2
cand_office,22,CAND-OFFICE,22,CITY
cand_state_of_election,23,CAND-STATE (OF ELECTION),23,STATE
cand_district,24,CAND-DISTRICT,24,ZIP
conduit_name,25,CONDUIT-NAME,25,FEC CANDIDATE ID NUMBER
conduit_street_1,26,CONDUIT-STREET-1,26,CANDIDATE NAME
conduit_street_2,27,CONDUIT-STREET-2,27,CAN/OFF
conduit_city,28,CONDUIT-CITY,28,STATE (OF ELECTION)
conduit_state,29,CONDUIT-STATE,29,CAN/DIST
conduit_zip,30,CONDUIT-ZIP,30,MEMO CODE
memo_code,31,MEMO-CODE,31,MEMO-TEXT
memo_text,32,MEMO-TEXT,32,AMENDED
amended_cd,33,AMENDED-CD,,
tran_id,34,TRAN-ID,,
orig_tran_id,35,ORIG-TRAN-ID,,
supr_tran_id,36,SUPR-TRAN-ID,,
