canonical,^2,,^1,
form_type,1,FORM-TYPE,1,FORM TYPE
filer_fec_cmte_id,2,FILER FEC CMTE ID,2,FEC COMMITTEE ID NUMBER
entity_type,3,ENTITY-TYPE,3,IND/NAME (RECIPIENT)
recipient_name,4,RECIPIENT-NAME,4,STREET 1
street_1,5,STREET 1,5,STREET 2
street_2,6,STREET 2,6,CITY
city,7,CITY,7,STATE
state,8,STATE,8,ZIP
zip,9,ZIP,9,DISBURSCODE
trans_code,10,TRANS-CODE,10,TRANSDESC
trans_descrip,11,TRANS-DESCRIP,11,ITEM-PG-OTHER
item_elect_cd,12,ITEM-ELECT-CD,12,PG-OTHER-DESCRIPTION
item_elect_other,13,ITEM-ELECT-OTHER,13,DATE (OF DISBURSEMENT)
date_of_expenditure,14,DATE-OF-EXPENDITURE,14,AMOUNT DISBURSED CONTRIB/LOAN
amount_of_expenditure,15,AMOUNT-OF EXPENDITURE,15,FEC COMMITTEE ID NUMBER
fec_committee_id_number,16,FEC-COMMITTEE- ID-NUMBER,16,COMMITTEE NAME
fec_candidate_id_number,17,FEC-CANDIDATE-ID-NUMBER,17,STREET 1
candidate_name,18,CANDIDATE-NAME,18,STREET 2
can_office,19,CAN-OFFICE,19,CITY
can_state_of_election,20,CAN-STATE (OF ELECTION),20,STATE
can_district,21,CAN-DISTRICT,21,ZIP
conduit_name,22,CONDUIT-NAME,22,FEC CANDIDATE ID NUMBER
conduit_street_1,23,CONDUIT-STREET-1,23,CANDIDATE NAME
conduit_street_2,24,CONDUIT-STREET-2,24,CAN/OFF
conduit_city,25,CONDUIT-CITY,25,STATE (OF ELECTION)
conduit_state,26,CONDUIT-STATE,26,CAN/DIST
conduit_zip,27,CONDUIT-ZIP,27,MEMO CODE
memo_code,28,MEMO-CODE,28,MEMO TEXT
memo_text,29,MEMO-TEXT,29,AMENDED
amended_cd,30,AMENDED-CD,,
tran_id,31,TRAN-ID,,
orig_tran_id,32,ORIG-TRAN-ID,,
supr_tran_id,33,SUPR-TRAN-ID,,
