canonical,^2,,^1,
form_type,1,FORM TYPE,1,FORM TYPE
filer_fec_cmte_id,2,FILER FEC CMTE ID,2,FEC COMMITTEE ID NUMBER
ind_name_of_account,3,IND/NAME (OF ACCOUNT),3,IND/NAME (OF ACCOUNT)
date_of_receipt,4,DATE (OF RECEIPT),4,DATE (OF RECEIPT)
total_amount_transferred,5,TOTAL AMOUNT TRANSFERRED,5,TOTAL AMOUNT TRANSFERED
i_admin_voter_drive,6,I) ADMIN/VOTER DRIVE,6,I) ADMIN/VOTER DRIVE
ii_tot_direct_fundraising_amount,7,II) TOT DIRECT FUNDRAISING AMOUNT,7,II) a. IND/NAME (EVENT)
iii_tot_exempt_activity_direct_candidate_support,8,III) TOT EXEMPT ACTIVITY DIRECT CANDIDATE SUPPORT,8,ACTIVITY/EVENT NUMBER
amended_cd,9,AMENDED-CD,9,AMOUNT TRANSFERRED FOR THIS ACTIVITY
tran_id,10,TRAN_ID,10,II) b. IND/NAME (EVENT)
orig_tran_id,11,ORIG_TRAN_ID,11,ACTIVITY/EVENT NUMBER
supr_tran_id,12,SUPR_TRAN_ID,12,AMOUNT TRANSFERRED FOR THIS ACTIVITY
,,,13,II) c. IND/NAME (EVENT)
,,,14,ACTIVITY/EVENT NUMBER
,,,15,AMOUNT TRANSFERRED FOR THIS ACTIVITY
,,,16,II) d. IND/NAME (EVENT)
,,,17,ACTIVITY/EVENT NUMBER
,,,18,AMOUNT TRANSFERRED FOR THIS ACTIVITY
,,,19,TOT DIRECT FUNDRAISING AMOUNT
,,,20,III) a. IND/NAME (EVENT)
,,,21,ACTIVITY/EVENT NUMBER
,,,22,AMOUNT TRANSFERRED FOR THIS ACTIVITY
,,,23,III) b. IND/NAME (EVENT)
,,,24,ACTIVITY/EVENT NUMBER
,,,25,AMOUNT TRANSFERRED FOR THIS ACTIVITY
,,,26,III) c. IND/NAME (EVENT)
,,,27,ACTIVITY/EVENT NUMBER
,,,28,AMOUNT TRANSFERRED FOR THIS ACTIVITY
,,,29,III) d. IND/NAME (EVENT)
,,,30,ACTIVITY/EVENT NUMBER
,,,31,AMOUNT TRANSFERRED FOR THIS ACTIVITY
,,,32,TOT EXEMPT ACTIVITY DIRECT CANDIDATE SUPPORT
,,,33,AMENDED
