canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^8.0|7.0|6.4|6.3|6.2,,^8.0|7.0|6.4|6.3|6.1,,^8.0|7.0|6.4|6.3,,^8.0|7.0|6.4|6.2|6.1,,^8.0|7.0|6.4|6.2,,^8.0|7.0|6.4|6.1,,^8.0|7.0|6.4,,^8.0|7.0|6.3|6.2|6.1,,^8.0|7.0|6.3|6.2,,^8.0|7.0|6.3|6.1,,^8.0|7.0|6.3,,^8.0|7.0|6.2|6.1,,^8.0|7.0|6.2,,^8.0|7.0|6.1,,^8.0|7.0,,^5.3,,^5.2|5.1|5.0,,^5.2|5.1,,^3,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID
transaction_id_number,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,BACK REFERENCE TRAN ID,3,BACK REFERENCE TRAN ID,3,BACK REFERENCE TRAN ID,3,BACK REFERENCE TRAN ID
back_reference_tran_id_number,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,ENTITY TYPE,4,ENTITY TYPE,4,ENTITY TYPE,4,ENTITY TYPE
lender_organization_name,5,LENDER ORGANIZATION NAME,5,LENDER ORGANIZATION NAME,5,LENDER ORGANIZATION NAME,5,LENDER ORGANIZATION NAME,5,LENDER ORGANIZATION NAME,5,LENDER ORGANIZATION NAME,5,LENDER ORGANIZATION NAME,5,LENDER ORGANIZATION NAME,5,LENDER ORGANIZATION NAME,5,LENDER ORGANIZATION NAME,5,LENDER ORGANIZATION NAME,5,LENDER ORGANIZATION NAME,5,LENDER ORGANIZATION NAME,5,LENDER ORGANIZATION NAME,5,LENDER ORGANIZATION NAME,5,LENDER ORGANIZATION NAME,5,NAME (Loan Source),5,NAME (Loan Source),5,NAME (Loan Source),5,NAME (Loan Source)
lender_street_1,6,LENDER STREET  1,6,LENDER STREET  1,6,LENDER STREET  1,6,LENDER STREET  1,6,LENDER STREET  1,6,LENDER STREET  1,6,LENDER STREET  1,6,LENDER STREET  1,6,LENDER STREET  1,6,LENDER STREET  1,6,LENDER STREET  1,6,LENDER STREET  1,6,LENDER STREET  1,6,LENDER STREET  1,6,LENDER STREET  1,6,LENDER STREET  1,6,STREET  1,6,STREET  1,6,STREET  1,6,STREET  1
lender_street_2,7,LENDER STREET  2,7,LENDER STREET  2,7,LENDER STREET  2,7,LENDER STREET  2,7,LENDER STREET  2,7,LENDER STREET  2,7,LENDER STREET  2,7,LENDER STREET  2,7,LENDER STREET  2,7,LENDER STREET  2,7,LENDER STREET  2,7,LENDER STREET  2,7,LENDER STREET  2,7,LENDER STREET  2,7,LENDER STREET  2,7,LENDER STREET  2,7,STREET  2,7,STREET  2,7,STREET  2,7,STREET  2
lender_city,8,LENDER CITY,8,LENDER CITY,8,LENDER CITY,8,LENDER CITY,8,LENDER CITY,8,LENDER CITY,8,LENDER CITY,8,LENDER CITY,8,LENDER CITY,8,LENDER CITY,8,LENDER CITY,8,LENDER CITY,8,LENDER CITY,8,LENDER CITY,8,LENDER CITY,8,LENDER CITY,8,CITY,8,CITY,8,CITY,8,CITY
lender_state,9,LENDER STATE,9,LENDER STATE,9,LENDER STATE,9,LENDER STATE,9,LENDER STATE,9,LENDER STATE,9,LENDER STATE,9,LENDER STATE,9,LENDER STATE,9,LENDER STATE,9,LENDER STATE,9,LENDER STATE,9,LENDER STATE,9,LENDER STATE,9,LENDER STATE,9,LENDER STATE,9,STATE,9,STATE,9,STATE,9,STATE
lender_zip,10,LENDER ZIP,10,LENDER ZIP,10,LENDER ZIP,10,LENDER ZIP,10,LENDER ZIP,10,LENDER ZIP,10,LENDER ZIP,10,LENDER ZIP,10,LENDER ZIP,10,LENDER ZIP,10,LENDER ZIP,10,LENDER ZIP,10,LENDER ZIP,10,LENDER ZIP,10,LENDER ZIP,10,LENDER ZIP,10, ZIP,10, ZIP,10, ZIP,10, ZIP
