canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^8.0|7.0|6.4|6.3|6.2,,^8.0|7.0|6.4|6.3|6.1,,^8.0|7.0|6.4|6.3,,^8.0|7.0|6.4|6.2|6.1,,^8.0|7.0|6.4|6.2,,^8.0|7.0|6.4|6.1,,^8.0|7.0|6.4,,^8.0|7.0|6.3|6.2|6.1,,^8.0|7.0|6.3|6.2,,^8.0|7.0|6.3|6.1,,^8.0|7.0|6.3,,^8.0|7.0|6.2|6.1,,^8.0|7.0|6.2,,^8.0|7.0|6.1,,^8.0|7.0,,^5.3,,^5.2,,^5.1|5.0,,^3,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID
transaction_id_number,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,SPACE HOLDER,3,SPACE HOLDER,3,NATIONAL PARTY COMMITTEE  (Old H1/Sec-1),3,NAT PARTY CMTES %
state_and_local_party_committee_presidential_only_election_year_28_federal,4,State and Local Party Committee Presidential-Only Election Year (28% Federal),4,State and Local Party Committee Presidential-Only Election Year (28% Federal),4,State and Local Party Committee Presidential-Only Election Year (28% Federal),4,State and Local Party Committee Presidential-Only Election Year (28% Federal),4,State and Local Party Committee Presidential-Only Election Year (28% Federal),4,State and Local Party Committee Presidential-Only Election Year (28% Federal),4,State and Local Party Committee Presidential-Only Election Year (28% Federal),4,State and Local Party Committee Presidential-Only Election Year (28% Federal),4,State and Local Party Committee Presidential-Only Election Year (28% Federal),4,State and Local Party Committee Presidential-Only Election Year (28% Federal),4,State and Local Party Committee Presidential-Only Election Year (28% Federal),4,State and Local Party Committee Presidential-Only Election Year (28% Federal),4,State and Local Party Committee Presidential-Only Election Year (28% Federal),4,State and Local Party Committee Presidential-Only Election Year (28% Federal),4,State and Local Party Committee Presidential-Only Election Year (28% Federal),4,State and Local Party Committee Presidential-Only Election Year (28% Federal),4,SPACE HOLDER,4,SPACE HOLDER,4,NAT PARTY CMTES %,4,HSE/SEN PTY CMTES MINIMUM FED %
state_and_local_party_committee_presidential_and_senate_election_year_36_federal,5,State and Local Party Committee Presidential and Senate Election Year (36% Federal),5,State and Local Party Committee Presidential and Senate Election Year (36% Federal),5,State and Local Party Committee Presidential and Senate Election Year (36% Federal),5,State and Local Party Committee Presidential and Senate Election Year (36% Federal),5,State and Local Party Committee Presidential and Senate Election Year (36% Federal),5,State and Local Party Committee Presidential and Senate Election Year (36% Federal),5,State and Local Party Committee Presidential and Senate Election Year (36% Federal),5,State and Local Party Committee Presidential and Senate Election Year (36% Federal),5,State and Local Party Committee Presidential and Senate Election Year (36% Federal),5,State and Local Party Committee Presidential and Senate Election Year (36% Federal),5,State and Local Party Committee Presidential and Senate Election Year (36% Federal),5,State and Local Party Committee Presidential and Senate Election Year (36% Federal),5,State and Local Party Committee Presidential and Senate Election Year (36% Federal),5,State and Local Party Committee Presidential and Senate Election Year (36% Federal),5,State and Local Party Committee Presidential and Senate Election Year (36% Federal),5,State and Local Party Committee Presidential and Senate Election Year (36% Federal),5,SPACE HOLDER,5,SPACE HOLDER,5,HOUSE/SENATE PARTY COMMITTEES (Old H1/Sec-2),5,HSE/SEN PTY CMTES PERCENTAGE ESTIMATED FEDERAL CAN SUPPORT
state_and_local_party_committee_senate_only_election_year_21_federal,6,State and Local Party Committee Senate-Only Election Year (21% Federal),6,State and Local Party Committee Senate-Only Election Year (21% Federal),6,State and Local Party Committee Senate-Only Election Year (21% Federal),6,State and Local Party Committee Senate-Only Election Year (21% Federal),6,State and Local Party Committee Senate-Only Election Year (21% Federal),6,State and Local Party Committee Senate-Only Election Year (21% Federal),6,State and Local Party Committee Senate-Only Election Year (21% Federal),6,State and Local Party Committee Senate-Only Election Year (21% Federal),6,State and Local Party Committee Senate-Only Election Year (21% Federal),6,State and Local Party Committee Senate-Only Election Year (21% Federal),6,State and Local Party Committee Senate-Only Election Year (21% Federal),6,State and Local Party Committee Senate-Only Election Year (21% Federal),6,State and Local Party Committee Senate-Only Election Year (21% Federal),6,State and Local Party Committee Senate-Only Election Year (21% Federal),6,State and Local Party Committee Senate-Only Election Year (21% Federal),6,State and Local Party Committee Senate-Only Election Year (21% Federal),6,SPACE HOLDER,6,SPACE HOLDER,6,HSE/SEN PTY CMTES MINIMUM FED %,6,HSE/SEN PTY CMTES PERCENTAGE ESTIMATED NON FEDERAL CAN SUPPORT
state_and_local_party_committee_non_presidential_and_non_senate_election_year_15_federal,7,State and Local Party Committee Non-Presidential and Non-Senate Election Year (15% Federal),7,State and Local Party Committee Non-Presidential and Non-Senate Election Year (15% Federal),7,State and Local Party Committee Non-Presidential and Non-Senate Election Year (15% Federal),7,State and Local Party Committee Non-Presidential and Non-Senate Election Year (15% Federal),7,State and Local Party Committee Non-Presidential and Non-Senate Election Year (15% Federal),7,State and Local Party Committee Non-Presidential and Non-Senate Election Year (15% Federal),7,State and Local Party Committee Non-Presidential and Non-Senate Election Year (15% Federal),7,State and Local Party Committee Non-Presidential and Non-Senate Election Year (15% Federal),7,State and Local Party Committee Non-Presidential and Non-Senate Election Year (15% Federal),7,State and Local Party Committee Non-Presidential and Non-Senate Election Year (15% Federal),7,State and Local Party Committee Non-Presidential and Non-Senate Election Year (15% Federal),7,State and Local Party Committee Non-Presidential and Non-Senate Election Year (15% Federal),7,State and Local Party Committee Non-Presidential and Non-Senate Election Year (15% Federal),7,State and Local Party Committee Non-Presidential and Non-Senate Election Year (15% Federal),7,State and Local Party Committee Non-Presidential and Non-Senate Election Year (15% Federal),7,State and Local Party Committee Non-Presidential and Non-Senate Election Year (15% Federal),7,SPACE HOLDER,7,SPACE HOLDER,7,HSE/SEN PTY CMTES PERCENTAGE ESTIMATED FEDERAL CAN SUPPORT,7,HSE/SEN PTY CMTES ACTUAL FEDERAL CAN SUPPORT
flat_minimum_federal_percentage,8,FLAT MINIMUM FEDERAL PERCENTAGE ,8,FLAT MINIMUM FEDERAL PERCENTAGE ,8,FLAT MINIMUM FEDERAL PERCENTAGE ,8,FLAT MINIMUM FEDERAL PERCENTAGE ,8,FLAT MINIMUM FEDERAL PERCENTAGE ,8,FLAT MINIMUM FEDERAL PERCENTAGE ,8,FLAT MINIMUM FEDERAL PERCENTAGE ,8,FLAT MINIMUM FEDERAL PERCENTAGE ,8,FLAT MINIMUM FEDERAL PERCENTAGE ,8,FLAT MINIMUM FEDERAL PERCENTAGE ,8,FLAT MINIMUM FEDERAL PERCENTAGE ,8,FLAT MINIMUM FEDERAL PERCENTAGE ,8,FLAT MINIMUM FEDERAL PERCENTAGE ,8,FLAT MINIMUM FEDERAL PERCENTAGE ,8,FLAT MINIMUM FEDERAL PERCENTAGE ,8,FLAT MINIMUM FEDERAL PERCENTAGE ,8,SPACE HOLDER,8,SPACE HOLDER,8,HSE/SEN PTY CMTES PERCENTAGE ESTIMATED NON FEDERAL CAN SUPPORT,8,HSE/SEN PTY CMTES ACTUAL NON FEDERAL CAN SUPPORT
federal_percent,9,FEDERAL PERCENT,9,FEDERAL PERCENT,9,FEDERAL PERCENT,9,FEDERAL PERCENT,9,FEDERAL PERCENT,9,FEDERAL PERCENT,9,FEDERAL PERCENT,9,FEDERAL PERCENT,9,FEDERAL PERCENT,9,FEDERAL PERCENT,9,FEDERAL PERCENT,9,FEDERAL PERCENT,9,FEDERAL PERCENT,9,FEDERAL PERCENT,9,FEDERAL PERCENT,9,FEDERAL PERCENT,9,SPACE HOLDER,9,SPACE HOLDER,9,HSE/SEN PTY CMTES ACTUAL FEDERAL CAN SUPPORT,9,HSE/SEN PTY CMTES PERCENTAGE ACTUAL  FEDERAL
nonfederal_percent,10,NONFEDERAL PERCENT ,10,NONFEDERAL PERCENT ,10,NONFEDERAL PERCENT ,10,NONFEDERAL PERCENT ,10,NONFEDERAL PERCENT ,10,NONFEDERAL PERCENT ,10,NONFEDERAL PERCENT ,10,NONFEDERAL PERCENT ,10,NONFEDERAL PERCENT ,10,NONFEDERAL PERCENT ,10,NONFEDERAL PERCENT ,10,NONFEDERAL PERCENT ,10,NONFEDERAL PERCENT ,10,NONFEDERAL PERCENT ,10,NONFEDERAL PERCENT ,10,NONFEDERAL PERCENT ,10,SPACE HOLDER,10,SPACE HOLDER,10,HSE/SEN PTY CMTES ACTUAL NON FEDERAL CAN SUPPORT,10,SEP. SEG FUNDS & PERCENTAGE NON CONNECTED CMTES ESTIMATED FEDERAL CANDIDATE  SUPPORT 
