canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^8.0|7.0|6.4|6.3|6.2,,^8.0|7.0|6.4|6.3|6.1,,^8.0|7.0|6.4|6.3,,^8.0|7.0|6.4|6.2|6.1,,^8.0|7.0|6.4|6.2,,^8.0|7.0|6.4|6.1,,^8.0|7.0|6.4,,^8.0|7.0|6.3|6.2|6.1,,^8.0|7.0|6.3|6.2,,^8.0|7.0|6.3|6.1,,^8.0|7.0|6.3,,^8.0|7.0|6.2|6.1,,^8.0|7.0|6.2,,^8.0|7.0|6.1,,^8.0|7.0,,^5.3,,^5.2,,^5.1|5.0,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID
transaction_id_number,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,BACK-REF TRAN ID,3,BACK-REF TRAN ID,3,BACK-REF TRAN ID
back_reference_tran_id,4,BACK REFERENCE TRAN ID,4,BACK REFERENCE TRAN ID,4,BACK REFERENCE TRAN ID,4,BACK REFERENCE TRAN ID,4,BACK REFERENCE TRAN ID,4,BACK REFERENCE TRAN ID,4,BACK REFERENCE TRAN ID,4,BACK REFERENCE TRAN ID,4,BACK REFERENCE TRAN ID,4,BACK REFERENCE TRAN ID,4,BACK REFERENCE TRAN ID,4,BACK REFERENCE TRAN ID,4,BACK REFERENCE TRAN ID,4,BACK REFERENCE TRAN ID,4,BACK REFERENCE TRAN ID,4,BACK REFERENCE TRAN ID,4,ACCOUNT NAME,4,ACCOUNT NAME,4,ACCOUNT NAME
account_name,5,ACCOUNT NAME,5,ACCOUNT NAME,5,ACCOUNT NAME,5,ACCOUNT NAME,5,ACCOUNT NAME,5,ACCOUNT NAME,5,ACCOUNT NAME,5,ACCOUNT NAME,5,ACCOUNT NAME,5,ACCOUNT NAME,5,ACCOUNT NAME,5,ACCOUNT NAME,5,ACCOUNT NAME,5,ACCOUNT NAME,5,ACCOUNT NAME,5,ACCOUNT NAME,5,EVENT/ACTIVITY ID/NAME,5,EVENT/ACTIVITY ID/NAME,5,EVENT NAME
event_type,6,EVENT TYPE,6,EVENT TYPE,6,EVENT TYPE,6,EVENT TYPE,6,EVENT TYPE,6,EVENT TYPE,6,EVENT TYPE,6,EVENT TYPE,6,EVENT TYPE,6,EVENT TYPE,6,EVENT TYPE,6,EVENT TYPE,6,EVENT TYPE,6,EVENT TYPE,6,EVENT TYPE,6,EVENT TYPE,6,EVENT TYPE,6,EVENT TYPE,6,EVENT TYPE
event_activity_id_name,7,EVENT/ACTIVITY ID/NAME,7,EVENT/ACTIVITY ID/NAME,7,EVENT/ACTIVITY ID/NAME,7,EVENT/ACTIVITY ID/NAME,7,EVENT/ACTIVITY ID/NAME,7,EVENT/ACTIVITY ID/NAME,7,EVENT/ACTIVITY ID/NAME,7,EVENT/ACTIVITY ID/NAME,7,EVENT/ACTIVITY ID/NAME,7,EVENT/ACTIVITY ID/NAME,7,EVENT/ACTIVITY ID/NAME,7,EVENT/ACTIVITY ID/NAME,7,EVENT/ACTIVITY ID/NAME,7,EVENT/ACTIVITY ID/NAME,7,EVENT/ACTIVITY ID/NAME,7,EVENT/ACTIVITY ID/NAME,7,DATE (Of Receipt),7,DATE (Of Receipt),7,DATE (Of Receipt)
receipt_date,8,RECEIPT DATE,8,RECEIPT DATE,8,RECEIPT DATE,8,RECEIPT DATE,8,RECEIPT DATE,8,RECEIPT DATE,8,RECEIPT DATE,8,RECEIPT DATE,8,RECEIPT DATE,8,RECEIPT DATE,8,RECEIPT DATE,8,RECEIPT DATE,8,RECEIPT DATE,8,RECEIPT DATE,8,RECEIPT DATE,8,RECEIPT DATE,8,AMOUNT TRANSFERRED,8,AMOUNT TRANSFERRED,8,AMOUNT TRANSFERRED
total_amount_transferred,9,TOTAL AMOUNT TRANSFERRED,9,TOTAL AMOUNT TRANSFERRED,9,TOTAL AMOUNT TRANSFERRED,9,TOTAL AMOUNT TRANSFERRED,9,TOTAL AMOUNT TRANSFERRED,9,TOTAL AMOUNT TRANSFERRED,9,TOTAL AMOUNT TRANSFERRED,9,TOTAL AMOUNT TRANSFERRED,9,TOTAL AMOUNT TRANSFERRED,9,TOTAL AMOUNT TRANSFERRED,9,TOTAL AMOUNT TRANSFERRED,9,TOTAL AMOUNT TRANSFERRED,9,TOTAL AMOUNT TRANSFERRED,9,TOTAL AMOUNT TRANSFERRED,9,TOTAL AMOUNT TRANSFERRED,9,TOTAL AMOUNT TRANSFERRED,9,TOTAL AMOUNT TRANSFERRED,9,TOTAL AMOUNT TRANSFERRED,9,TOTAL AMOUNT TRANSFERRED
transferred_amount,10,TRANSFERRED AMOUNT,10,TRANSFERRED AMOUNT,10,TRANSFERRED AMOUNT,10,TRANSFERRED AMOUNT,10,TRANSFERRED AMOUNT,10,TRANSFERRED AMOUNT,10,TRANSFERRED AMOUNT,10,TRANSFERRED AMOUNT,10,TRANSFERRED AMOUNT,10,TRANSFERRED AMOUNT,10,TRANSFERRED AMOUNT,10,TRANSFERRED AMOUNT,10,TRANSFERRED AMOUNT,10,TRANSFERRED AMOUNT,10,TRANSFERRED AMOUNT,10,TRANSFERRED AMOUNT,10,SPACE HOLDER,10,INTERNAL USE ONLY,10,AMENDED CD
