canonical,^8.0,,^7.0,,^6.4|6.3|6.2|6.1,,^6.4|6.3|6.2,,^6.4|6.3|6.1,,^6.4|6.3,,^5.3,,^5.2,,^5.1|5.0,,^3,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID
transaction_id_number,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,ENTITY TYPE,3,ENTITY TYPE,3,ENTITY TYPE,3,ENTITY TYPE
back_reference_tran_id_number,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,NAME  (Payee),4,NAME  (Payee),4,NAME  (Payee),4,NAME  (Payee)
back_reference_sched_name,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,STREET 1,5,STREET 1,5,STREET 1,5,STREET 1
entity_type,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,STREET 2,6,STREET 2,6,STREET 2,6,STREET 2
payee_organization_name,7,PAYEE ORGANIZATION NAME,7,PAYEE ORGANIZATION NAME,7,PAYEE ORGANIZATION NAME,7,PAYEE ORGANIZATION NAME,7,PAYEE ORGANIZATION NAME,7,PAYEE ORGANIZATION NAME,7,CITY,7,CITY,7,CITY,7,CITY
payee_last_name,8,PAYEE LAST NAME,8,PAYEE LAST NAME,8,PAYEE LAST NAME,8,PAYEE LAST NAME,8,PAYEE LAST NAME,8,PAYEE LAST NAME,8,STATE,8,STATE,8,STATE,8,STATE
payee_first_name,9,PAYEE FIRST NAME,9,PAYEE FIRST NAME,9,PAYEE FIRST NAME,9,PAYEE FIRST NAME,9,PAYEE FIRST NAME,9,PAYEE FIRST NAME,9,ZIP,9,ZIP,9,ZIP,9,ZIP
payee_middle_name,10,PAYEE MIDDLE NAME,10,PAYEE MIDDLE NAME,10,PAYEE MIDDLE NAME,10,PAYEE MIDDLE NAME,10,PAYEE MIDDLE NAME,10,PAYEE MIDDLE NAME,10,TRANS {Purpose} DESCRIP,10,TRANS {Purpose} DESCRIP,10,TRANS {Purpose} DESCRIP,10,PURPOSE/EVENT 
payee_prefix,11,PAYEE PREFIX,11,PAYEE PREFIX,11,PAYEE PREFIX,11,PAYEE PREFIX,11,PAYEE PREFIX,11,PAYEE PREFIX,11,DATE,11,DATE,11,DATE,11,DATE
payee_suffix,12,PAYEE SUFFIX,12,PAYEE SUFFIX,12,PAYEE SUFFIX,12,PAYEE SUFFIX,12,PAYEE SUFFIX,12,PAYEE SUFFIX,12,TOTAL AMOUNT,12,TOTAL AMOUNT,12,TOTAL AMOUNT,12,TOTAL AMOUNT
payee_street_1,13,PAYEE STREET  1,13,PAYEE STREET  1,13,PAYEE STREET  1,13,PAYEE STREET  1,13,PAYEE STREET  1,13,PAYEE STREET  1,13,FEDERAL SHARE,13,FEDERAL SHARE,13,FEDERAL SHARE,13,FEDERAL SHARE
