canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^8.0|7.0|6.4|6.3|6.2,,^8.0|7.0|6.4|6.3|6.1,,^8.0|7.0|6.4|6.3,,^8.0|7.0|6.4|6.2|6.1,,^8.0|7.0|6.4|6.2,,^8.0|7.0|6.4|6.1,,^8.0|7.0|6.4,,^8.0|7.0|6.3|6.2|6.1,,^8.0|7.0|6.3|6.2,,^8.0|7.0|6.3|6.1,,^8.0|7.0|6.3,,^8.0|7.0|6.2|6.1,,^8.0|7.0|6.2,,^8.0|7.0|6.1,,^8.0|7.0,,^5.3,,^5.2|5.1|5.0,,^5.2|5.1,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID
transaction_id_number,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,ACCOUNT NAME,3,ACCOUNT NAME,3,ACCOUNT NAME
account_name,4,ACCOUNT NAME,4,ACCOUNT NAME,4,ACCOUNT NAME,4,ACCOUNT NAME,4,ACCOUNT NAME,4,ACCOUNT NAME,4,ACCOUNT NAME,4,ACCOUNT NAME,4,ACCOUNT NAME,4,ACCOUNT NAME,4,ACCOUNT NAME,4,ACCOUNT NAME,4,ACCOUNT NAME,4,ACCOUNT NAME,4,ACCOUNT NAME,4,ACCOUNT NAME,4,DATE (Of Receipt/Transfer In),4,DATE (Of Receipt/Transfer In),4,DATE (Of Receipt/Transfer In)
receipt_date,5,RECEIPT DATE,5,RECEIPT DATE,5,RECEIPT DATE,5,RECEIPT DATE,5,RECEIPT DATE,5,RECEIPT DATE,5,RECEIPT DATE,5,RECEIPT DATE,5,RECEIPT DATE,5,RECEIPT DATE,5,RECEIPT DATE,5,RECEIPT DATE,5,RECEIPT DATE,5,RECEIPT DATE,5,RECEIPT DATE,5,RECEIPT DATE,5,Amount Voter Registration,5,Amount Voter Registration,5,Amount Voter Registration
total_amount_transferred,6,TOTAL AMOUNT TRANSFERRED ,6,TOTAL AMOUNT TRANSFERRED ,6,TOTAL AMOUNT TRANSFERRED ,6,TOTAL AMOUNT TRANSFERRED ,6,TOTAL AMOUNT TRANSFERRED ,6,TOTAL AMOUNT TRANSFERRED ,6,TOTAL AMOUNT TRANSFERRED ,6,TOTAL AMOUNT TRANSFERRED ,6,TOTAL AMOUNT TRANSFERRED ,6,TOTAL AMOUNT TRANSFERRED ,6,TOTAL AMOUNT TRANSFERRED ,6,TOTAL AMOUNT TRANSFERRED ,6,TOTAL AMOUNT TRANSFERRED ,6,TOTAL AMOUNT TRANSFERRED ,6,TOTAL AMOUNT TRANSFERRED ,6,TOTAL AMOUNT TRANSFERRED ,6,Amount Voter ID,6,Amount Voter ID,6,Amount Voter ID
voter_registration_amount,7,VOTER REGISTRATION AMOUNT,7,VOTER REGISTRATION AMOUNT,7,VOTER REGISTRATION AMOUNT,7,VOTER REGISTRATION AMOUNT,7,VOTER REGISTRATION AMOUNT,7,VOTER REGISTRATION AMOUNT,7,VOTER REGISTRATION AMOUNT,7,VOTER REGISTRATION AMOUNT,7,VOTER REGISTRATION AMOUNT,7,VOTER REGISTRATION AMOUNT,7,VOTER REGISTRATION AMOUNT,7,VOTER REGISTRATION AMOUNT,7,VOTER REGISTRATION AMOUNT,7,VOTER REGISTRATION AMOUNT,7,VOTER REGISTRATION AMOUNT,7,VOTER REGISTRATION AMOUNT,7,Amount GOTV,7,Amount GOTV,7,Amount GOTV
voter_id_amount,8,VOTER ID AMOUNT,8,VOTER ID AMOUNT,8,VOTER ID AMOUNT,8,VOTER ID AMOUNT,8,VOTER ID AMOUNT,8,VOTER ID AMOUNT,8,VOTER ID AMOUNT,8,VOTER ID AMOUNT,8,VOTER ID AMOUNT,8,VOTER ID AMOUNT,8,VOTER ID AMOUNT,8,VOTER ID AMOUNT,8,VOTER ID AMOUNT,8,VOTER ID AMOUNT,8,VOTER ID AMOUNT,8,VOTER ID AMOUNT,8,Amount Generic Campaing Activity,8,Amount Generic Campaing Activity,8,Amount Generic Campaing Activity
gotv_amount,9,GOTV AMOUNT,9,GOTV AMOUNT,9,GOTV AMOUNT,9,GOTV AMOUNT,9,GOTV AMOUNT,9,GOTV AMOUNT,9,GOTV AMOUNT,9,GOTV AMOUNT,9,GOTV AMOUNT,9,GOTV AMOUNT,9,GOTV AMOUNT,9,GOTV AMOUNT,9,GOTV AMOUNT,9,GOTV AMOUNT,9,GOTV AMOUNT,9,GOTV AMOUNT,9,TOTAL AMOUNT TRANSFERRED ,9,TOTAL AMOUNT TRANSFERRED ,9,TOTAL AMOUNT TRANSFERRED 
generic_campaign_amount,10,GENERIC CAMPAIGN AMOUNT,10,GENERIC CAMPAIGN AMOUNT,10,GENERIC CAMPAIGN AMOUNT,10,GENERIC CAMPAIGN AMOUNT,10,GENERIC CAMPAIGN AMOUNT,10,GENERIC CAMPAIGN AMOUNT,10,GENERIC CAMPAIGN AMOUNT,10,GENERIC CAMPAIGN AMOUNT,10,GENERIC CAMPAIGN AMOUNT,10,GENERIC CAMPAIGN AMOUNT,10,GENERIC CAMPAIGN AMOUNT,10,GENERIC CAMPAIGN AMOUNT,10,GENERIC CAMPAIGN AMOUNT,10,GENERIC CAMPAIGN AMOUNT,10,GENERIC CAMPAIGN AMOUNT,10,GENERIC CAMPAIGN AMOUNT,10,SPACE HOLDER,10,AMENDED CD,10,AMENDED CD
