canonical,^8.0,,^7.0|6.4|6.3|6.2|6.1,,^7.0|6.4|6.3|6.2,,^7.0|6.4|6.3|6.1,,^7.0|6.4|6.3,,^7.0|6.4|6.2|6.1,,^7.0|6.4|6.2,,^7.0|6.4|6.1,,^7.0|6.4,,^5.3,,^5.2|5.1|5.0,,^5.2|5.1,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID
transaction_id_number,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,ENTITY TYPE,3,ENTITY TYPE,3,ENTITY TYPE
back_reference_tran_id_number,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,BACK REFERENCE TRAN ID NUMBER,4,NAME  (Payee),4,NAME  (Payee),4,NAME  (Payee)
back_reference_sched_name,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,BACK REFERENCE SCHED NAME,5,STREET 1,5,STREET 1,5,STREET 1
entity_type,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,ENTITY TYPE,6,STREET 2,6,STREET 2,6,STREET 2
payee_organization_name,7,PAYEE ORGANIZATION NAME,7,PAYEE ORGANIZATION NAME,7,PAYEE ORGANIZATION NAME,7,PAYEE ORGANIZATION NAME,7,PAYEE ORGANIZATION NAME,7,PAYEE ORGANIZATION NAME,7,PAYEE ORGANIZATION NAME,7,PAYEE ORGANIZATION NAME,7,PAYEE ORGANIZATION NAME,7,CITY,7,CITY,7,CITY
payee_last_name,8,PAYEE LAST NAME,8,PAYEE LAST NAME,8,PAYEE LAST NAME,8,PAYEE LAST NAME,8,PAYEE LAST NAME,8,PAYEE LAST NAME,8,PAYEE LAST NAME,8,PAYEE LAST NAME,8,PAYEE LAST NAME,8,STATE,8,STATE,8,STATE
payee_first_name,9,PAYEE FIRST NAME,9,PAYEE FIRST NAME,9,PAYEE FIRST NAME,9,PAYEE FIRST NAME,9,PAYEE FIRST NAME,9,PAYEE FIRST NAME,9,PAYEE FIRST NAME,9,PAYEE FIRST NAME,9,PAYEE FIRST NAME,9,ZIP,9,ZIP,9,ZIP
payee_middle_name,10,PAYEE MIDDLE NAME,10,PAYEE MIDDLE NAME,10,PAYEE MIDDLE NAME,10,PAYEE MIDDLE NAME,10,PAYEE MIDDLE NAME,10,PAYEE MIDDLE NAME,10,PAYEE MIDDLE NAME,10,PAYEE MIDDLE NAME,10,PAYEE MIDDLE NAME,10,CATEGORY CODE,10,CATEGORY CODE,10,CATEGORY CODE
payee_prefix,11,PAYEE PREFIX,11,PAYEE PREFIX,11,PAYEE PREFIX,11,PAYEE PREFIX,11,PAYEE PREFIX,11,PAYEE PREFIX,11,PAYEE PREFIX,11,PAYEE PREFIX,11,PAYEE PREFIX,11,TRANS CODE,11,TRANS CODE,11,TRANS CODE
payee_suffix,12,PAYEE SUFFIX,12,PAYEE SUFFIX,12,PAYEE SUFFIX,12,PAYEE SUFFIX,12,PAYEE SUFFIX,12,PAYEE SUFFIX,12,PAYEE SUFFIX,12,PAYEE SUFFIX,12,PAYEE SUFFIX,12,TRANS {Purpose} DESCRIP,12,TRANS {Purpose} DESCRIP,12,TRANS {Purpose} DESCRIP
payee_street_1,13,PAYEE STREET  1,13,PAYEE STREET  1,13,PAYEE STREET  1,13,PAYEE STREET  1,13,PAYEE STREET  1,13,PAYEE STREET  1,13,PAYEE STREET  1,13,PAYEE STREET  1,13,PAYEE STREET  1,13,DATE,13,DATE,13,DATE
payee_street_2,14,PAYEE STREET  2,14,PAYEE STREET  2,14,PAYEE STREET  2,14,PAYEE STREET  2,14,PAYEE STREET  2,14,PAYEE STREET  2,14,PAYEE STREET  2,14,PAYEE STREET  2,14,PAYEE STREET  2,14,TOTAL AMOUNT,14,TOTAL AMOUNT,14,TOTAL AMOUNT
payee_city,15,PAYEE CITY,15,PAYEE CITY,15,PAYEE CITY,15,PAYEE CITY,15,PAYEE CITY,15,PAYEE CITY,15,PAYEE CITY,15,PAYEE CITY,15,PAYEE CITY,15,FEDERAL SHARE,15,FEDERAL SHARE,15,FEDERAL SHARE
payee_state,16,PAYEE STATE,16,PAYEE STATE,16,PAYEE STATE,16,PAYEE STATE,16,PAYEE STATE,16,PAYEE STATE,16,PAYEE STATE,16,PAYEE STATE,16,PAYEE STATE,16,LEVIN SHARE,16,LEVIN SHARE,16,LEVIN SHARE
payee_zip,17,PAYEE ZIP,17,PAYEE ZIP,17,PAYEE ZIP,17,PAYEE ZIP,17,PAYEE ZIP,17,PAYEE ZIP,17,PAYEE ZIP,17,PAYEE ZIP,17,PAYEE ZIP,17,YESNO  (Activity Is Voter Registration),17,YESNO  (Activity Is Voter Registration),17,YESNO  (Activity Is Voter Registration)
account_event_identifier,18,ACCOUNT/EVENT IDENTIFIER,18,ACCOUNT/EVENT IDENTIFIER,18,ACCOUNT/EVENT IDENTIFIER,18,ACCOUNT/EVENT IDENTIFIER,18,ACCOUNT/EVENT IDENTIFIER,18,ACCOUNT/EVENT IDENTIFIER,18,ACCOUNT/EVENT IDENTIFIER,18,ACCOUNT/EVENT IDENTIFIER,18,ACCOUNT/EVENT IDENTIFIER,18,YESNO  (Activity Is Voter ID),18,YESNO  (Activity Is Voter ID),18,YESNO  (Activity Is Voter ID)
expenditure_date,19,EXPENDITURE DATE,19,EXPENDITURE DATE,19,EXPENDITURE DATE,19,EXPENDITURE DATE,19,EXPENDITURE DATE,19,EXPENDITURE DATE,19,EXPENDITURE DATE,19,EXPENDITURE DATE,19,EXPENDITURE DATE,19,YESNO  (Activity GOTV),19,YESNO  (Activity GOTV),19,YESNO  (Activity GOTV)
total_fed_levin_amount,20,TOTAL FED-LEVIN AMOUNT,20,TOTAL FED-LEVIN AMOUNT,20,TOTAL FED-LEVIN AMOUNT,20,TOTAL FED-LEVIN AMOUNT,20,TOTAL FED-LEVIN AMOUNT,20,TOTAL FED-LEVIN AMOUNT,20,TOTAL FED-LEVIN AMOUNT,20,TOTAL FED-LEVIN AMOUNT,20,TOTAL FED-LEVIN AMOUNT,20,YESNO  (Activity is Generic Campaign),20,YESNO  (Activity is Generic Campaign),20,YESNO  (Activity is Generic Campaign)
federal_share,21,FEDERAL SHARE,21,FEDERAL SHARE,21,FEDERAL SHARE,21,FEDERAL SHARE,21,FEDERAL SHARE,21,FEDERAL SHARE,21,FEDERAL SHARE,21,FEDERAL SHARE,21,FEDERAL SHARE,21,ACTIVITY/EVENT YEAR-TO-DATE,21,ACTIVITY/EVENT YEAR-TO-DATE,21,ACTIVITY/EVENT YEAR-TO-DATE
levin_share,22,LEVIN SHARE,22,LEVIN SHARE,22,LEVIN SHARE,22,LEVIN SHARE,22,LEVIN SHARE,22,LEVIN SHARE,22,LEVIN SHARE,22,LEVIN SHARE,22,LEVIN SHARE,22,ADDITIONAL DESCRIPTION,22,ADDITIONAL DESCRIPTION,22,ADDITIONAL DESCRIPTION
activity_event_total_ytd,23,ACTIVITY/EVENT TOTAL YTD,23,ACTIVITY/EVENT TOTAL YTD,23,ACTIVITY/EVENT TOTAL YTD,23,ACTIVITY/EVENT TOTAL YTD,23,ACTIVITY/EVENT TOTAL YTD,23,ACTIVITY/EVENT TOTAL YTD,23,ACTIVITY/EVENT TOTAL YTD,23,ACTIVITY/EVENT TOTAL YTD,23,ACTIVITY/EVENT TOTAL YTD,23,FEC COMMITTEE ID NUMBER,23,FEC COMMITTEE ID NUMBER,23,FEC COMMITTEE ID NUMBER
expenditure_purpose_descrip,24,EXPENDITURE PURPOSE DESCRIP,24,EXPENDITURE PURPOSE CODE,24,EXPENDITURE PURPOSE CODE,24,EXPENDITURE PURPOSE CODE,24,EXPENDITURE PURPOSE CODE,24,EXPENDITURE PURPOSE CODE,24,EXPENDITURE PURPOSE CODE,24,EXPENDITURE PURPOSE CODE,24,EXPENDITURE PURPOSE CODE,24,FEC CANDIDATE ID NUMBER,24,FEC CANDIDATE ID NUMBER,24,FEC CANDIDATE ID NUMBER
category_code,25,CATEGORY CODE,25,EXPENDITURE PURPOSE DESCRIP,25,EXPENDITURE PURPOSE DESCRIP,25,EXPENDITURE PURPOSE DESCRIP,25,EXPENDITURE PURPOSE DESCRIP,25,EXPENDITURE PURPOSE DESCRIP,25,EXPENDITURE PURPOSE DESCRIP,25,EXPENDITURE PURPOSE DESCRIP,25,EXPENDITURE PURPOSE DESCRIP,25,CANDIDATE NAME,25,CANDIDATE NAME,25,CANDIDATE NAME
yes_no_activity_is_voter_registration,26,YES/NO  (Activity Is Voter Registration),26,CATEGORY CODE,26,CATEGORY CODE,26,CATEGORY CODE,26,CATEGORY CODE,26,CATEGORY CODE,26,CATEGORY CODE,26,CATEGORY CODE,26,CATEGORY CODE,26,CAN/OFFICE,26,CAN/OFFICE,26,CAN/OFFICE
yes_no_activity_gotv,27,YES/NO  (Activity GOTV),27,YES/NO  (Activity Is Voter Registration),27,YES/NO  (Activity Is Voter Registration),27,YES/NO  (Activity Is Voter Registration),27,YES/NO  (Activity Is Voter Registration),27,YES/NO  (Activity Is Voter Registration),27,YES/NO  (Activity Is Voter Registration),27,YES/NO  (Activity Is Voter Registration),27,YES/NO  (Activity Is Voter Registration),27,CAN/STATE,27,CAN/STATE,27,CAN/STATE
yes_no_activity_is_voter_id,28,YES/NO  (Activity Is Voter ID),28,YES/NO  (Activity GOTV),28,YES/NO  (Activity GOTV),28,YES/NO  (Activity GOTV),28,YES/NO  (Activity GOTV),28,YES/NO  (Activity GOTV),28,YES/NO  (Activity GOTV),28,YES/NO  (Activity GOTV),28,YES/NO  (Activity GOTV),28,CAN/DIST,28,CAN/DIST,28,CAN/DIST
